,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.667,0.421,0.024,0.246,0.105,0.229,0.241,0.162
1,0.665,0.423,0.036,0.198,0.119,0.262,0.246,0.181
2,0.675,0.422,0.018,0.218,0.078,0.246,0.227,0.142
3,0.68,0.42,0.042,0.204,0.125,0.214,0.247,0.129
4,0.67,0.42,0.036,0.206,0.115,0.212,0.245,0.155
5,0.674,0.42,0.025,0.224,0.141,0.213,0.225,0.18
6,0.678,0.422,0.029,0.209,0.12,0.207,0.269,0.14
7,0.674,0.422,0.018,0.194,0.108,0.239,0.267,0.165
8,0.676,0.42,0.013,0.185,0.104,0.201,0.264,0.148
9,0.674,0.418,0.037,0.183,0.079,0.23,0.238,0.11
10,0.671,0.42,0.035,0.224,0.079,0.224,0.227,0.115
11,0.679,0.422,0.016,0.216,0.07,0.218,0.21,0.145
12,0.678,0.421,0.029,0.189,0.08,0.238,0.263,0.151
13,0.682,0.419,0.018,0.23,0.07,0.255,0.238,0.18
14,0.689,0.42,0.05,0.178,0.144,0.244,0.278,0.156
15,0.681,0.421,0.02,0.253,0.117,0.241,0.224,0.122
16,0.679,0.421,0.014,0.259,0.099,0.234,0.233,0.154
17,0.675,0.42,0.019,0.168,0.107,0.201,0.279,0.086
18,0.678,0.419,0.027,0.228,0.074,0.214,0.218,0.173
19,0.678,0.419,0.034,0.244,0.095,0.25,0.212,0.137
20,0.673,0.421,0.03,0.242,0.09,0.298,0.252,0.136
21,0.686,0.421,0.028,0.258,0.062,0.27,0.226,0.142
22,0.676,0.42,0.017,0.229,0.087,0.268,0.269,0.196
23,0.678,0.419,0.035,0.2,0.095,0.256,0.258,0.138
24,0.676,0.418,0.025,0.2,0.096,0.251,0.242,0.116
25,0.684,0.42,0.033,0.202,0.077,0.238,0.25,0.208
26,0.68,0.418,0.042,0.253,0.081,0.223,0.249,0.183
27,0.676,0.417,0.025,0.174,0.074,0.237,0.271,0.182
28,0.684,0.42,0.053,0.208,0.118,0.248,0.274,0.118
29,0.677,0.422,0.031,0.264,0.102,0.229,0.25,0.138
30,0.699,0.503,0.023,0.234,0.112,0.236,0.261,0.139
31,0.765,0.71,0.039,0.215,0.067,0.256,0.313,0.177
32,0.869,0.917,0.043,0.251,0.118,0.373,0.447,0.186
33,0.963,1.08,0.04,0.239,0.12,0.423,0.494,0.254
34,1.043,1.207,0.077,0.201,0.103,0.421,0.631,0.277
35,1.108,1.308,0.045,0.234,0.095,0.525,0.659,0.296
36,1.151,1.381,0.081,0.306,0.13,0.597,0.788,0.373
37,1.191,1.442,0.08,0.321,0.151,0.635,0.821,0.329
38,1.228,1.491,0.082,0.34,0.126,0.652,0.853,0.407
39,1.243,1.525,0.086,0.308,0.157,0.623,0.882,0.415
40,1.268,1.559,0.087,0.393,0.141,0.68,0.912,0.368
41,1.291,1.583,0.064,0.387,0.164,0.656,0.904,0.437
42,1.311,1.603,0.077,0.418,0.158,0.7,0.864,0.484
43,1.335,1.618,0.085,0.424,0.196,0.763,0.943,0.457
44,1.352,1.631,0.047,0.46,0.215,0.753,0.896,0.483
45,1.378,1.642,0.086,0.453,0.218,0.808,0.899,0.399
46,1.392,1.649,0.069,0.463,0.175,0.797,0.915,0.483
47,1.416,1.656,0.068,0.562,0.253,0.827,0.913,0.434
48,1.432,1.661,0.052,0.56,0.211,0.82,0.923,0.463
49,1.445,1.665,0.04,0.585,0.221,0.838,0.903,0.524
50,1.47,1.667,0.059,0.588,0.24,0.843,0.946,0.594
51,1.492,1.669,0.064,0.635,0.24,0.842,0.923,0.55
52,1.508,1.669,0.053,0.644,0.243,0.885,0.946,0.532
53,1.527,1.67,0.072,0.635,0.204,0.905,0.93,0.533
54,1.537,1.67,0.068,0.551,0.271,0.818,0.935,0.624
55,1.557,1.668,0.047,0.649,0.208,0.923,0.971,0.608
56,1.578,1.666,0.068,0.654,0.202,0.932,0.976,0.582
57,1.592,1.664,0.071,0.685,0.255,0.978,0.988,0.529
58,1.6,1.663,0.065,0.719,0.235,0.989,0.997,0.55
59,1.614,1.66,0.059,0.747,0.27,0.988,0.985,0.566
