,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.348,0.504,0.496,0.507,0.458,0.556,0.548,0.365
1,0.35,0.505,0.493,0.492,0.512,0.548,0.564,0.395
2,0.354,0.505,0.491,0.501,0.473,0.565,0.549,0.352
3,0.35,0.506,0.479,0.432,0.448,0.583,0.512,0.329
4,0.358,0.505,0.471,0.494,0.492,0.589,0.506,0.343
5,0.352,0.506,0.488,0.467,0.465,0.609,0.549,0.334
6,0.348,0.505,0.456,0.485,0.496,0.578,0.524,0.379
7,0.35,0.504,0.459,0.478,0.493,0.589,0.509,0.339
8,0.35,0.505,0.487,0.459,0.489,0.581,0.572,0.349
9,0.347,0.505,0.486,0.512,0.49,0.565,0.524,0.355
10,0.349,0.506,0.478,0.468,0.457,0.607,0.511,0.395
11,0.353,0.505,0.484,0.504,0.466,0.573,0.546,0.364
12,0.351,0.506,0.484,0.525,0.502,0.578,0.532,0.358
13,0.348,0.506,0.482,0.501,0.509,0.592,0.527,0.298
14,0.352,0.508,0.47,0.468,0.475,0.6,0.527,0.312
15,0.358,0.507,0.431,0.473,0.526,0.552,0.525,0.384
16,0.353,0.506,0.472,0.516,0.472,0.554,0.493,0.335
17,0.348,0.506,0.475,0.515,0.458,0.6,0.532,0.317
18,0.348,0.507,0.479,0.5,0.502,0.582,0.54,0.342
19,0.349,0.508,0.459,0.506,0.473,0.528,0.533,0.337
20,0.353,0.507,0.505,0.506,0.485,0.56,0.516,0.405
21,0.353,0.507,0.469,0.487,0.466,0.581,0.524,0.379
22,0.353,0.503,0.472,0.494,0.501,0.647,0.509,0.355
23,0.349,0.508,0.47,0.492,0.474,0.574,0.578,0.338
24,0.35,0.507,0.494,0.458,0.496,0.615,0.573,0.319
25,0.354,0.508,0.488,0.504,0.534,0.541,0.533,0.406
26,0.359,0.508,0.489,0.48,0.464,0.612,0.526,0.38
27,0.355,0.509,0.466,0.521,0.489,0.592,0.517,0.383
28,0.354,0.509,0.48,0.542,0.504,0.604,0.564,0.319
29,0.358,0.508,0.476,0.485,0.472,0.616,0.542,0.367
30,0.361,0.51,0.461,0.487,0.538,0.609,0.545,0.352
31,0.364,0.511,0.473,0.496,0.52,0.622,0.509,0.386
32,0.359,0.51,0.471,0.491,0.53,0.582,0.51,0.33
33,0.382,0.515,0.5,0.514,0.513,0.759,0.602,0.372
34,0.517,0.533,0.601,0.647,0.664,1.293,0.77,0.805
35,0.708,0.553,0.723,0.766,0.757,1.8,1.138,1.1
36,0.935,0.578,0.806,0.944,0.885,2.107,1.537,1.364
37,1.243,0.6,0.941,1.026,0.971,2.244,1.948,1.459
38,1.466,0.616,1.031,1.127,1.079,2.335,2.195,1.525
39,1.58,0.638,1.129,1.218,1.138,2.345,2.407,1.616
40,1.606,0.654,1.192,1.272,1.193,2.37,2.468,1.651
41,1.564,0.671,1.278,1.363,1.27,2.391,2.446,1.676
42,1.59,0.687,1.366,1.419,1.351,2.378,2.425,1.666
43,1.593,0.701,1.408,1.461,1.358,2.423,2.453,1.654
44,1.605,0.713,1.49,1.513,1.485,2.442,2.442,1.72
45,1.614,0.725,1.574,1.587,1.507,2.537,2.442,1.74
46,1.649,0.737,1.66,1.552,1.591,2.533,2.445,1.815
47,1.68,0.749,1.683,1.73,1.639,2.563,2.475,1.797
48,1.713,0.757,1.735,1.75,1.675,2.599,2.515,1.828
49,1.749,0.765,1.786,1.842,1.721,2.634,2.546,1.92
50,1.773,0.775,1.856,1.875,1.779,2.655,2.576,1.978
51,1.802,0.785,1.937,1.925,1.824,2.698,2.629,2.043
52,1.839,0.791,1.981,1.977,1.809,2.724,2.664,2.061
53,1.865,0.797,2.044,2.007,1.848,2.736,2.751,2.136
54,1.895,0.804,2.018,2.023,1.922,2.801,2.797,2.255
55,1.917,0.81,2.085,2.048,1.919,2.792,2.874,2.379
56,1.954,0.817,2.128,2.052,1.902,2.904,2.938,2.543
57,2.003,0.821,2.119,2.083,1.921,2.956,3.009,2.799
58,2.031,0.827,2.169,2.066,1.889,3.019,3.087,3.102
59,2.063,0.831,2.231,2.1,1.885,3.085,3.224,3.444
60,2.092,0.834,2.484,2.096,1.875,3.159,3.411,3.766
61,2.129,0.84,2.922,2.005,1.779,3.3,3.612,4.046
62,2.163,0.844,3.625,1.966,1.748,3.393,3.81,4.282
63,2.209,0.849,4.271,1.891,1.701,3.577,4.004,4.413
64,2.273,0.854,4.602,1.904,1.685,3.78,4.18,4.546
65,2.352,0.857,4.747,1.831,1.669,3.973,4.342,4.619
66,2.462,0.859,4.811,1.896,1.683,4.162,4.487,4.64
67,2.578,0.862,4.845,1.926,1.692,4.314,4.595,4.642
68,2.699,0.865,4.869,1.962,1.681,4.419,4.688,4.672
69,2.84,0.868,4.868,2.039,1.7,4.571,4.762,4.665
70,3.001,0.87,4.843,2.067,1.732,4.657,4.838,4.667
71,3.165,0.873,4.84,2.12,1.746,4.722,4.891,4.669
72,3.321,0.875,4.852,2.214,1.757,4.749,4.917,4.717
73,3.411,0.878,4.864,2.32,1.807,4.753,4.929,4.682
74,3.001,0.878,4.867,2.642,1.829,4.786,4.935,4.682
75,3.099,0.883,4.872,3.249,1.84,4.779,4.94,4.692
76,3.236,0.885,4.873,3.957,1.898,4.786,4.944,4.687
77,3.364,0.887,4.871,4.376,1.948,4.789,4.948,4.693
78,3.467,0.888,4.88,4.616,1.987,4.792,4.951,4.694
79,3.555,0.89,4.882,4.776,2.047,4.786,4.953,4.688
80,3.62,0.893,4.884,4.867,2.114,4.79,4.954,4.702
81,3.663,0.893,4.885,4.895,2.232,4.8,4.955,4.706
82,3.707,0.895,4.89,4.912,2.453,4.792,4.955,4.717
83,3.737,0.896,4.89,4.929,2.717,4.806,4.955,4.705
84,3.765,0.898,4.909,4.926,3.062,4.809,4.955,4.711
85,3.788,0.898,4.924,4.926,3.376,4.802,4.956,4.684
86,4.154,0.9,4.923,4.925,3.701,4.797,4.955,4.696
87,4.631,0.902,4.921,4.928,4.007,4.791,4.957,4.725
88,4.615,0.903,4.916,4.934,4.234,4.802,4.957,4.719
89,4.507,0.903,4.889,4.935,4.413,4.817,4.957,4.709
90,4.403,0.904,4.899,4.935,4.551,4.799,4.958,4.721
91,4.374,0.904,4.868,4.94,4.647,4.814,4.957,4.729
92,4.503,0.904,4.872,4.942,4.73,4.815,4.955,4.727
93,4.015,0.905,4.899,4.939,4.778,4.815,4.958,4.723
94,4.401,0.909,4.902,4.938,4.816,4.806,4.959,4.731
95,3.958,0.908,4.85,4.938,4.83,4.819,4.959,4.732
96,3.817,0.907,4.808,4.941,4.852,4.813,4.96,4.73
97,3.825,0.908,4.822,4.938,4.858,4.805,4.959,4.725
98,3.831,0.909,4.818,4.943,4.868,4.818,4.96,4.725
99,3.837,0.909,4.801,4.94,4.87,4.815,4.96,4.727
100,3.883,0.912,4.913,4.943,4.872,4.83,4.96,4.742
101,3.883,0.91,4.944,4.95,4.873,4.826,4.959,4.725
102,3.86,0.912,4.94,4.944,4.878,4.821,4.96,4.749
103,3.866,0.911,4.938,4.948,4.881,4.824,4.959,4.732
104,3.87,0.914,4.949,4.947,4.887,4.819,4.961,4.73
105,3.87,0.913,4.95,4.948,4.887,4.819,4.959,4.726
106,3.889,0.913,4.95,4.946,4.89,4.821,4.962,4.731
107,4.326,0.913,4.945,4.951,4.892,4.83,4.96,4.732
108,3.872,0.916,4.934,4.95,4.893,4.819,4.96,4.712
109,3.859,0.913,4.913,4.95,4.896,4.817,4.96,4.714
110,3.863,0.913,4.847,4.949,4.894,4.816,4.96,4.713
111,3.868,0.912,4.82,4.953,4.894,4.825,4.96,4.732
112,3.872,0.909,4.834,4.956,4.894,4.81,4.96,4.744
113,4.082,0.91,4.815,4.953,4.894,4.813,4.96,4.718
114,3.887,0.908,4.824,4.949,4.893,4.817,4.96,4.72
115,4.515,0.906,4.797,4.957,4.893,4.802,4.958,4.717
116,3.937,0.906,4.925,4.952,4.893,4.803,4.958,4.729
117,4.442,0.906,4.947,4.954,4.89,4.784,4.959,4.708
118,3.927,0.905,4.943,4.958,4.89,4.782,4.957,4.706
119,3.852,0.904,4.932,4.955,4.891,4.787,4.957,4.719
120,3.859,0.904,4.939,4.956,4.889,4.782,4.956,4.695
121,3.862,0.904,4.943,4.954,4.887,4.784,4.958,4.703
122,3.857,0.905,4.88,4.951,4.886,4.765,4.957,4.709
123,4.727,0.905,4.919,4.954,4.883,4.773,4.956,4.693
124,4.863,0.904,4.943,4.952,4.877,4.779,4.955,4.689
125,4.862,0.903,4.946,4.948,4.871,4.748,4.955,4.668
126,4.854,0.9,4.945,4.949,4.721,4.669,4.954,4.66
127,4.839,0.891,4.945,4.943,3.784,4.266,4.95,4.625
128,4.805,0.883,4.942,4.938,2.479,3.117,4.946,4.586
129,4.646,0.875,4.941,4.935,1.958,2.24,4.938,4.499
130,4.137,0.864,4.94,4.922,1.849,1.922,4.923,4.229
131,3.149,0.853,4.862,4.827,1.761,1.699,4.85,3.303
132,2.326,0.844,4.567,3.854,1.672,1.576,4.558,2.074
133,1.952,0.833,3.15,2.501,1.578,1.452,3.831,1.44
134,1.802,0.823,2.13,2.08,1.498,1.385,3.168,1.237
135,1.688,0.815,1.878,1.966,1.431,1.314,2.66,1.107
136,1.616,0.805,1.751,1.871,1.371,1.211,2.455,1.021
137,1.539,0.796,1.682,1.783,1.319,1.214,2.248,0.943
138,1.47,0.789,1.603,1.685,1.281,1.116,2.16,0.909
139,1.408,0.781,1.543,1.589,1.26,1.081,2.05,0.816
140,1.359,0.772,1.48,1.523,1.221,1.062,1.956,0.736
141,1.312,0.762,1.426,1.504,1.164,0.996,1.901,0.723
142,1.274,0.756,1.379,1.421,1.168,1.002,1.823,0.623
143,1.235,0.748,1.36,1.312,1.126,0.973,1.751,0.698
144,1.205,0.741,1.321,1.276,1.08,0.956,1.686,0.643
145,1.175,0.733,1.267,1.257,1.082,0.92,1.6,0.625
146,1.146,0.729,1.263,1.2,1.069,0.881,1.604,0.587
147,1.122,0.719,1.214,1.183,1.062,0.868,1.539,0.585
148,1.095,0.714,1.165,1.212,1.055,0.862,1.515,0.54
149,1.079,0.71,1.189,1.171,1.018,0.884,1.457,0.549
150,1.064,0.704,1.163,1.16,1.054,0.875,1.467,0.499
151,1.044,0.698,1.133,1.12,1.037,0.81,1.453,0.513
152,1.022,0.692,1.092,1.108,1.004,0.8,1.419,0.51
153,1.015,0.687,1.081,1.127,1.01,0.812,1.389,0.504
154,1.004,0.682,1.06,1.123,1.011,0.805,1.364,0.511
155,0.999,0.677,1.045,1.093,0.982,0.814,1.352,0.473
156,0.978,0.674,1.065,1.087,0.968,0.81,1.334,0.485
157,0.972,0.669,1.057,1.113,0.95,0.793,1.285,0.504
158,0.965,0.667,1.044,1.04,0.942,0.787,1.291,0.48
159,0.955,0.661,0.969,1.092,0.951,0.816,1.262,0.445
160,0.941,0.656,0.996,1.061,0.908,0.797,1.257,0.489
161,0.933,0.652,0.999,1.089,0.948,0.827,1.233,0.467
162,0.936,0.649,0.992,1.002,0.931,0.788,1.239,0.466
163,0.928,0.646,0.994,1.101,0.951,0.775,1.197,0.471
164,0.92,0.642,0.984,0.983,0.925,0.743,1.217,0.464
165,0.91,0.639,0.98,1.019,0.917,0.761,1.18,0.436
166,0.911,0.637,0.966,1.027,0.907,0.793,1.164,0.433
167,0.904,0.634,0.965,1.031,0.926,0.773,1.174,0.473
168,0.898,0.631,0.949,0.977,0.886,0.802,1.156,0.414
169,0.893,0.628,0.966,0.901,0.901,0.796,1.169,0.527
170,0.896,0.626,0.955,0.979,0.888,0.76,1.163,0.451
171,0.89,0.624,0.931,0.964,0.875,0.787,1.156,0.495
172,0.884,0.621,0.929,0.998,0.883,0.796,1.121,0.424
173,0.884,0.621,0.946,1.014,0.889,0.807,1.119,0.493
174,0.878,0.618,0.926,1.002,0.889,0.818,1.125,0.479
175,0.869,0.616,0.908,0.971,0.868,0.815,1.123,0.492
176,0.872,0.614,0.908,0.968,0.897,0.785,1.111,0.46
177,0.867,0.61,0.896,0.973,0.853,0.8,1.118,0.462
178,0.868,0.608,0.896,0.979,0.828,0.829,1.089,0.471
179,0.862,0.606,0.92,0.889,0.833,0.79,1.13,0.471
180,0.86,0.606,0.915,0.956,0.862,0.781,1.132,0.5
181,0.862,0.604,0.903,0.956,0.845,0.831,1.084,0.464
182,0.856,0.603,0.909,0.909,0.858,0.749,1.1,0.478
183,0.856,0.601,0.918,0.898,0.845,0.802,1.097,0.425
184,0.853,0.601,0.875,0.942,0.841,0.792,1.09,0.455
185,0.842,0.598,0.87,0.961,0.839,0.763,1.049,0.488
186,0.848,0.599,0.883,0.954,0.86,0.789,1.071,0.551
187,0.842,0.595,0.879,0.937,0.826,0.788,1.063,0.449
188,0.837,0.598,0.882,0.937,0.796,0.815,1.047,0.462
189,0.836,0.594,0.864,0.923,0.797,0.764,1.049,0.449
190,0.842,0.594,0.841,0.931,0.818,0.82,1.052,0.473
191,0.828,0.591,0.854,0.936,0.782,0.82,1.069,0.473
192,0.83,0.592,0.854,0.906,0.806,0.788,1.051,0.456
193,0.827,0.591,0.881,0.869,0.822,0.862,1.059,0.474
194,0.82,0.59,0.845,0.924,0.802,0.825,1.003,0.521
195,0.822,0.589,0.878,0.931,0.752,0.801,1.032,0.434
196,0.815,0.588,0.851,0.864,0.778,0.819,1.031,0.449
197,0.816,0.587,0.848,0.882,0.79,0.775,1.033,0.383
198,0.821,0.586,0.851,0.906,0.809,0.795,1.02,0.53
199,0.809,0.587,0.826,0.934,0.816,0.797,1.013,0.551
200,0.808,0.586,0.85,0.832,0.789,0.836,1.065,0.523
201,0.814,0.584,0.867,0.876,0.782,0.788,1.014,0.467
202,0.808,0.583,0.802,0.912,0.768,0.756,0.987,0.495
203,0.8,0.582,0.799,0.886,0.779,0.859,1.039,0.49
204,0.799,0.582,0.82,0.892,0.793,0.822,1.001,0.418
205,0.796,0.581,0.831,0.914,0.761,0.828,1.023,0.527
206,0.794,0.582,0.816,0.902,0.764,0.839,0.992,0.494
207,0.797,0.581,0.847,0.906,0.782,0.772,0.986,0.454
208,0.789,0.58,0.811,0.868,0.789,0.815,1.018,0.452
209,0.784,0.58,0.835,0.85,0.751,0.812,0.999,0.477
210,0.791,0.577,0.811,0.9,0.73,0.816,0.988,0.431
211,0.778,0.578,0.814,0.851,0.747,0.79,0.997,0.453
212,0.777,0.578,0.804,0.861,0.782,0.782,0.959,0.48
213,0.772,0.577,0.809,0.845,0.779,0.802,0.98,0.493
214,0.766,0.576,0.789,0.905,0.758,0.755,0.968,0.434
215,0.762,0.576,0.768,0.878,0.73,0.812,0.945,0.466
216,0.762,0.574,0.793,0.887,0.781,0.747,0.964,0.486
217,0.758,0.576,0.8,0.893,0.783,0.812,0.918,0.453
218,0.754,0.575,0.788,0.844,0.735,0.81,0.942,0.515
219,0.752,0.577,0.774,0.847,0.759,0.8,0.947,0.461
220,0.749,0.573,0.784,0.884,0.748,0.752,0.936,0.434
221,0.754,0.574,0.79,0.896,0.736,0.806,0.941,0.442
222,0.746,0.571,0.778,0.871,0.774,0.731,0.918,0.509
223,0.741,0.575,0.782,0.846,0.728,0.769,0.92,0.424
224,0.739,0.573,0.776,0.841,0.745,0.747,0.952,0.445
225,0.726,0.572,0.766,0.885,0.697,0.75,0.934,0.422
226,0.731,0.572,0.773,0.872,0.743,0.764,0.906,0.505
227,0.722,0.572,0.763,0.885,0.723,0.75,0.926,0.46
228,0.723,0.571,0.802,0.859,0.722,0.779,0.883,0.443
229,0.716,0.571,0.745,0.882,0.694,0.757,0.905,0.446
230,0.715,0.57,0.76,0.854,0.699,0.78,0.882,0.461
231,0.71,0.569,0.749,0.807,0.74,0.745,0.865,0.451
232,0.702,0.57,0.741,0.824,0.712,0.7,0.894,0.482
233,0.697,0.567,0.735,0.855,0.7,0.737,0.876,0.419
234,0.694,0.57,0.747,0.836,0.679,0.751,0.873,0.362
235,0.695,0.569,0.721,0.833,0.697,0.761,0.886,0.433
236,0.686,0.568,0.746,0.774,0.686,0.71,0.85,0.436
237,0.687,0.567,0.741,0.805,0.723,0.692,0.831,0.478
238,0.683,0.567,0.725,0.769,0.728,0.732,0.869,0.436
239,0.675,0.566,0.737,0.8,0.682,0.735,0.859,0.366
240,0.677,0.564,0.747,0.797,0.666,0.729,0.845,0.399
241,0.675,0.566,0.707,0.802,0.707,0.761,0.816,0.49
242,0.674,0.566,0.682,0.794,0.728,0.64,0.823,0.42
243,0.666,0.566,0.748,0.788,0.625,0.735,0.842,0.398
244,0.668,0.563,0.723,0.818,0.713,0.723,0.846,0.45
245,0.666,0.563,0.705,0.818,0.627,0.695,0.8,0.404
246,0.658,0.564,0.713,0.761,0.656,0.665,0.838,0.395
247,0.655,0.563,0.711,0.761,0.689,0.703,0.832,0.46
248,0.646,0.562,0.695,0.796,0.667,0.708,0.796,0.428
249,0.649,0.564,0.689,0.79,0.657,0.702,0.784,0.455
250,0.642,0.563,0.695,0.8,0.672,0.701,0.784,0.427
251,0.641,0.564,0.675,0.835,0.666,0.74,0.819,0.373
252,0.634,0.561,0.677,0.797,0.645,0.734,0.785,0.441
253,0.642,0.562,0.692,0.79,0.661,0.697,0.752,0.447
254,0.636,0.561,0.685,0.733,0.67,0.669,0.801,0.453
255,0.636,0.561,0.666,0.771,0.644,0.734,0.794,0.437
256,0.626,0.561,0.669,0.801,0.622,0.714,0.77,0.431
257,0.627,0.562,0.678,0.732,0.645,0.702,0.753,0.41
258,0.623,0.56,0.684,0.767,0.622,0.679,0.75,0.463
259,0.617,0.559,0.685,0.738,0.597,0.731,0.768,0.434
260,0.611,0.559,0.676,0.764,0.655,0.684,0.762,0.437
261,0.614,0.558,0.681,0.764,0.6,0.733,0.769,0.424
262,0.612,0.558,0.654,0.781,0.649,0.733,0.768,0.365
263,0.603,0.557,0.679,0.8,0.627,0.727,0.763,0.461
264,0.6,0.556,0.68,0.762,0.647,0.72,0.705,0.409
265,0.598,0.557,0.661,0.763,0.638,0.743,0.771,0.385
266,0.599,0.557,0.651,0.771,0.638,0.674,0.746,0.495
