,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.178,0.616,0.039,0.453,0.356,0.347,0.533,0.247
1,1.181,0.614,0.039,0.41,0.318,0.339,0.504,0.232
2,1.179,0.616,0.041,0.338,0.275,0.384,0.468,0.264
3,1.173,0.615,0.056,0.374,0.306,0.4,0.473,0.242
4,1.174,0.617,0.05,0.478,0.324,0.296,0.526,0.269
5,1.173,0.613,0.027,0.453,0.336,0.36,0.517,0.257
6,1.175,0.612,0.053,0.447,0.33,0.381,0.502,0.275
7,1.177,0.614,0.063,0.424,0.374,0.363,0.514,0.176
8,1.171,0.613,0.048,0.418,0.293,0.323,0.511,0.255
9,1.171,0.615,0.031,0.436,0.331,0.354,0.524,0.257
10,1.173,0.614,0.033,0.383,0.287,0.366,0.511,0.214
11,1.175,0.614,0.049,0.468,0.366,0.363,0.542,0.226
12,1.174,0.613,0.032,0.448,0.336,0.363,0.516,0.204
13,1.175,0.612,0.051,0.434,0.315,0.393,0.513,0.225
14,1.169,0.612,0.044,0.417,0.321,0.401,0.512,0.25
15,1.172,0.612,0.037,0.443,0.286,0.354,0.53,0.273
16,1.175,0.61,0.034,0.447,0.32,0.345,0.511,0.257
17,1.173,0.613,0.056,0.411,0.324,0.331,0.514,0.267
18,1.174,0.611,0.023,0.468,0.305,0.419,0.516,0.192
19,1.177,0.612,0.03,0.461,0.291,0.373,0.482,0.264
20,1.171,0.611,0.043,0.436,0.32,0.355,0.526,0.189
21,1.171,0.61,0.03,0.437,0.318,0.364,0.506,0.257
22,1.169,0.609,0.063,0.392,0.328,0.358,0.501,0.369
23,1.166,0.611,0.031,0.439,0.336,0.318,0.484,0.263
24,1.168,0.611,0.044,0.457,0.323,0.386,0.524,0.255
25,1.172,0.612,0.035,0.441,0.287,0.37,0.519,0.254
26,1.169,0.613,0.036,0.455,0.308,0.408,0.524,0.251
27,1.172,0.61,0.03,0.461,0.306,0.352,0.481,0.231
28,1.175,0.65,0.029,0.446,0.298,0.373,0.536,0.201
29,1.345,0.947,0.046,0.507,0.33,0.536,0.659,0.349
30,1.685,1.351,0.068,0.58,0.413,0.878,0.978,0.635
31,1.992,1.635,0.129,0.705,0.533,1.387,1.256,0.953
32,2.198,1.81,0.124,0.85,0.56,1.777,1.452,1.267
33,2.372,1.927,0.146,0.987,0.667,2.055,1.657,1.499
34,2.522,2.009,0.143,1.152,0.705,2.325,1.798,1.756
35,2.662,2.068,0.166,1.277,0.789,2.558,1.967,2.022
36,2.806,2.113,0.154,1.432,0.807,2.758,2.126,2.233
37,2.942,2.148,0.198,1.532,0.899,2.99,2.268,2.513
38,3.074,2.177,0.22,1.75,0.954,3.172,2.458,2.673
39,3.19,2.203,0.247,1.882,1.006,3.316,2.633,2.792
40,3.294,2.223,0.283,2.004,1.108,3.481,2.746,2.95
41,3.375,2.241,0.295,2.169,1.172,3.577,2.881,3.016
42,3.453,2.255,0.342,2.286,1.284,3.638,3.004,3.008
43,3.514,2.269,0.389,2.45,1.348,3.741,3.097,3.097
44,3.565,2.271,0.405,2.584,1.378,3.746,3.18,3.015
45,3.612,2.279,0.45,2.698,1.465,3.813,3.246,3.063
46,3.646,2.287,0.437,2.775,1.525,3.81,3.314,3.034
47,3.683,2.294,0.504,2.869,1.582,3.811,3.362,2.989
48,3.709,2.301,0.517,2.976,1.656,3.845,3.425,3.028
49,3.734,2.312,0.561,3.041,1.66,3.826,3.466,3.0
50,3.756,2.322,0.627,3.138,1.723,3.832,3.512,3.052
51,3.779,2.319,0.775,3.174,1.768,3.818,3.555,3.056
52,3.797,2.32,1.459,3.253,1.773,3.778,3.573,3.112
53,3.812,2.324,3.506,3.354,1.795,3.775,3.61,3.785
54,3.831,2.337,4.519,3.47,1.801,3.769,3.636,4.66
55,3.851,2.341,4.765,3.695,1.847,3.806,3.698,4.857
56,3.868,2.337,4.83,3.99,1.842,3.831,3.748,4.906
57,3.887,2.339,4.855,4.465,1.835,3.813,3.844,4.916
58,3.913,2.352,4.865,4.792,1.857,3.829,4.069,4.916
