,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.355,0.408,0.391,0.49,0.372,0.351,0.345,0.224
1,0.358,0.408,0.389,0.439,0.372,0.372,0.355,0.244
2,0.355,0.407,0.383,0.46,0.379,0.294,0.341,0.235
3,0.344,0.408,0.381,0.433,0.373,0.353,0.345,0.226
4,0.345,0.407,0.397,0.483,0.363,0.326,0.307,0.227
5,0.349,0.405,0.402,0.444,0.351,0.383,0.319,0.267
6,0.357,0.407,0.38,0.429,0.324,0.329,0.356,0.23
7,0.352,0.406,0.41,0.46,0.406,0.329,0.315,0.198
8,0.358,0.406,0.399,0.422,0.417,0.314,0.331,0.223
9,0.355,0.404,0.376,0.445,0.395,0.32,0.303,0.26
10,0.349,0.405,0.391,0.446,0.397,0.357,0.321,0.292
11,0.356,0.406,0.425,0.431,0.379,0.375,0.313,0.199
12,0.346,0.403,0.416,0.463,0.377,0.393,0.316,0.203
13,0.35,0.402,0.4,0.419,0.397,0.398,0.304,0.253
14,0.351,0.403,0.362,0.404,0.411,0.344,0.281,0.205
15,0.357,0.403,0.38,0.414,0.449,0.332,0.299,0.232
16,0.35,0.403,0.37,0.426,0.417,0.342,0.318,0.227
17,0.352,0.402,0.402,0.417,0.374,0.344,0.334,0.261
18,0.346,0.403,0.394,0.447,0.412,0.389,0.288,0.255
19,0.352,0.402,0.384,0.432,0.436,0.382,0.284,0.252
20,0.354,0.402,0.372,0.444,0.38,0.382,0.344,0.215
21,0.354,0.403,0.386,0.368,0.385,0.406,0.336,0.202
22,0.35,0.403,0.37,0.434,0.443,0.364,0.279,0.179
23,0.34,0.402,0.389,0.462,0.436,0.392,0.303,0.207
24,0.346,0.402,0.403,0.487,0.425,0.34,0.318,0.264
25,0.358,0.4,0.376,0.429,0.382,0.384,0.366,0.218
26,0.354,0.401,0.376,0.451,0.389,0.389,0.359,0.232
27,0.463,0.421,0.526,0.571,0.488,0.914,0.467,0.516
28,1.154,0.489,0.789,0.874,0.815,2.617,1.162,1.742
29,1.897,0.571,0.982,1.184,1.094,3.41,2.136,2.616
30,2.099,0.644,1.18,1.409,1.273,3.367,2.822,2.643
31,2.027,0.713,1.308,1.606,1.404,3.077,3.085,2.267
32,1.993,0.771,1.574,1.738,1.553,2.879,3.017,2.164
33,2.071,0.819,1.788,1.903,1.783,2.941,2.867,2.397
34,2.23,0.859,2.001,2.11,1.904,3.183,2.958,2.857
35,2.471,0.891,2.556,2.335,2.081,3.592,3.275,4.014
36,2.869,0.915,4.279,2.46,2.3,4.213,3.887,4.709
37,3.485,0.937,4.835,2.744,3.319,4.792,4.433,4.881
38,4.124,0.956,4.897,3.773,4.419,4.934,4.772,4.888
39,4.593,0.973,4.914,4.714,4.832,4.946,4.924,4.886
40,4.813,0.985,4.923,4.94,4.915,4.95,4.96,4.881
41,4.884,0.995,4.923,4.969,4.93,4.948,4.968,4.882
42,4.907,1.005,4.926,4.973,4.939,4.943,4.971,4.887
43,4.912,1.014,4.929,4.977,4.942,4.942,4.972,4.881
44,4.913,1.019,4.93,4.978,4.946,4.945,4.973,4.877
45,4.914,1.023,4.932,4.979,4.948,4.936,4.975,4.868
46,4.915,1.03,4.935,4.98,4.95,4.938,4.974,4.863
47,4.913,1.031,4.936,4.982,4.95,4.933,4.975,4.864
48,4.912,1.034,4.936,4.982,4.952,4.934,4.973,4.86
49,4.912,1.036,4.935,4.983,4.952,4.927,4.974,4.856
50,4.912,1.039,4.935,4.983,4.952,4.93,4.973,4.859
51,4.912,1.039,4.934,4.986,4.953,4.928,4.972,4.855
52,4.912,1.04,4.938,4.984,4.954,4.926,4.973,4.849
53,4.912,1.041,4.939,4.983,4.955,4.925,4.971,4.85
54,4.911,1.041,4.934,4.984,4.955,4.924,4.972,4.846
55,4.912,1.042,4.935,4.984,4.956,4.926,4.971,4.846
56,4.912,1.041,4.936,4.984,4.958,4.927,4.973,4.853
57,4.912,1.042,4.939,4.986,4.956,4.924,4.972,4.845
58,4.912,1.042,4.935,4.985,4.958,4.922,4.971,4.864
59,4.912,1.04,4.936,4.984,4.958,4.92,4.972,4.861
60,4.912,1.04,4.934,4.986,4.958,4.921,4.972,4.851
61,4.912,1.04,4.936,4.987,4.958,4.925,4.972,4.851
62,4.912,1.038,4.934,4.986,4.961,4.925,4.971,4.846
63,4.912,1.039,4.934,4.986,4.96,4.923,4.971,4.858
