,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.98,0.556,0.045,0.347,0.105,0.417,0.389,0.216
1,0.976,0.556,0.029,0.346,0.093,0.395,0.418,0.144
2,0.984,0.556,0.053,0.356,0.147,0.406,0.44,0.183
3,0.989,0.558,0.041,0.381,0.125,0.416,0.432,0.205
4,0.99,0.557,0.044,0.322,0.099,0.4,0.397,0.239
5,0.987,0.556,0.033,0.316,0.103,0.388,0.415,0.238
6,0.984,0.556,0.034,0.354,0.146,0.377,0.402,0.21
7,0.988,0.557,0.049,0.365,0.096,0.387,0.43,0.163
8,0.995,0.558,0.032,0.377,0.122,0.379,0.441,0.207
9,0.998,0.556,0.042,0.366,0.137,0.409,0.464,0.234
10,0.994,0.557,0.037,0.376,0.1,0.361,0.421,0.254
11,0.987,0.555,0.044,0.359,0.111,0.373,0.403,0.23
12,0.994,0.555,0.063,0.349,0.121,0.422,0.41,0.31
13,0.992,0.555,0.041,0.372,0.116,0.442,0.443,0.228
14,0.99,0.557,0.042,0.32,0.119,0.389,0.42,0.142
15,0.988,0.556,0.038,0.3,0.144,0.362,0.413,0.129
16,0.997,0.557,0.044,0.373,0.099,0.335,0.38,0.241
17,0.994,0.556,0.058,0.39,0.173,0.359,0.423,0.244
18,0.996,0.557,0.051,0.358,0.122,0.358,0.423,0.182
19,0.999,0.558,0.022,0.38,0.139,0.376,0.43,0.177
20,0.993,0.556,0.022,0.326,0.153,0.378,0.411,0.18
21,0.992,0.556,0.042,0.326,0.133,0.396,0.454,0.177
22,0.99,0.557,0.047,0.277,0.114,0.384,0.415,0.222
23,0.992,0.554,0.019,0.341,0.122,0.357,0.439,0.262
24,0.984,0.559,0.037,0.286,0.117,0.399,0.385,0.262
25,0.988,0.556,0.048,0.36,0.137,0.351,0.429,0.246
26,0.986,0.556,0.05,0.303,0.144,0.38,0.37,0.263
27,0.985,0.556,0.069,0.361,0.085,0.441,0.426,0.265
28,0.984,0.557,0.06,0.325,0.091,0.405,0.396,0.192
