,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.091,0.614,0.064,0.417,0.129,0.461,0.476,0.393
1,1.089,0.614,0.052,0.382,0.109,0.434,0.49,0.36
2,1.086,0.614,0.031,0.385,0.111,0.46,0.498,0.324
3,1.088,0.613,0.052,0.383,0.156,0.405,0.495,0.333
4,1.094,0.614,0.054,0.326,0.137,0.461,0.486,0.339
5,1.091,0.614,0.043,0.397,0.121,0.411,0.477,0.289
6,1.091,0.614,0.047,0.396,0.101,0.395,0.499,0.389
7,1.091,0.613,0.05,0.386,0.096,0.463,0.49,0.315
8,1.093,0.612,0.042,0.365,0.155,0.439,0.493,0.284
9,1.089,0.613,0.05,0.339,0.165,0.424,0.462,0.361
10,1.096,0.612,0.047,0.378,0.145,0.453,0.466,0.302
11,1.091,0.612,0.053,0.42,0.137,0.477,0.48,0.354
12,1.091,0.612,0.026,0.408,0.114,0.427,0.466,0.292
13,1.092,0.613,0.045,0.376,0.138,0.458,0.504,0.301
14,1.096,0.611,0.063,0.367,0.129,0.511,0.47,0.365
15,1.094,0.612,0.055,0.356,0.123,0.493,0.475,0.327
16,1.093,0.611,0.048,0.356,0.123,0.451,0.471,0.295
17,1.096,0.611,0.038,0.362,0.117,0.474,0.479,0.336
18,1.095,0.612,0.048,0.364,0.127,0.423,0.471,0.291
19,1.093,0.611,0.054,0.377,0.106,0.417,0.452,0.38
20,1.085,0.612,0.046,0.381,0.145,0.434,0.525,0.371
21,1.097,0.612,0.043,0.396,0.117,0.439,0.5,0.333
22,1.092,0.613,0.054,0.355,0.097,0.421,0.471,0.407
23,1.094,0.611,0.027,0.322,0.096,0.453,0.498,0.284
24,1.088,0.611,0.041,0.364,0.143,0.381,0.484,0.318
25,1.196,0.814,0.048,0.398,0.122,0.575,0.573,0.451
26,1.849,1.473,0.129,0.516,0.185,1.305,1.063,1.194
27,2.369,1.816,0.229,0.614,0.275,2.322,1.54,2.214
28,2.645,1.95,0.272,0.82,0.314,2.841,1.872,2.763
29,2.908,2.038,0.326,1.079,0.392,3.316,2.212,3.145
30,3.184,2.094,0.49,1.563,0.484,3.655,2.637,3.411
31,3.485,2.13,2.291,2.305,0.691,4.002,3.153,4.136
32,3.887,2.151,4.432,3.912,1.099,4.603,3.889,4.791
33,4.416,2.164,4.742,4.846,2.305,4.901,4.604,4.883
34,4.75,2.171,4.746,4.942,4.139,4.938,4.89,4.907
35,4.88,2.173,4.735,4.942,4.773,4.939,4.942,4.907
36,4.919,2.173,4.712,4.94,4.864,4.933,4.953,4.901
37,4.929,2.172,4.687,4.929,4.863,4.932,4.956,4.894
38,4.932,2.168,4.662,4.92,4.848,4.923,4.957,4.876
39,4.932,2.162,4.644,4.911,4.837,4.931,4.956,4.884
40,4.931,2.157,4.618,4.909,4.826,4.921,4.955,4.882
41,4.931,2.149,4.604,4.906,4.81,4.919,4.956,4.875
42,4.931,2.141,4.586,4.907,4.797,4.915,4.955,4.866
43,4.931,2.132,4.581,4.898,4.783,4.913,4.953,4.859
44,4.929,2.125,4.565,4.884,4.774,4.912,4.952,4.871
45,4.929,2.115,4.556,4.883,4.766,4.913,4.952,4.869
46,4.929,2.105,4.552,4.883,4.756,4.91,4.952,4.863
47,4.927,2.096,4.542,4.867,4.756,4.887,4.951,4.869
48,4.927,2.086,4.56,4.877,4.751,4.9,4.951,4.853
49,4.927,2.077,4.542,4.879,4.743,4.905,4.951,4.85
50,4.927,2.067,4.535,4.871,4.742,4.905,4.951,4.857
51,4.927,2.057,4.544,4.874,4.739,4.905,4.951,4.854
52,4.927,2.049,4.544,4.872,4.737,4.893,4.951,4.848
53,4.927,2.04,4.541,4.871,4.733,4.884,4.95,4.821
54,4.927,2.031,4.542,4.872,4.729,4.901,4.951,4.843
55,4.927,2.024,4.542,4.877,4.732,4.896,4.952,4.835
56,4.927,2.015,4.544,4.866,4.733,4.896,4.951,4.857
57,4.927,2.007,4.55,4.872,4.734,4.896,4.95,4.857
58,4.927,2.0,4.554,4.865,4.734,4.889,4.95,4.837
59,4.927,1.993,4.553,4.866,4.732,4.887,4.95,4.844
60,4.926,1.985,4.557,4.863,4.739,4.888,4.95,4.848
61,4.926,1.978,4.557,4.872,4.737,4.891,4.952,4.843
62,4.926,1.972,4.553,4.87,4.739,4.889,4.95,4.852
63,4.927,1.964,4.571,4.863,4.738,4.893,4.95,4.842
64,4.927,1.958,4.563,4.874,4.732,4.891,4.951,4.836
65,4.927,1.953,4.562,4.872,4.736,4.894,4.95,4.842
66,4.926,1.946,4.565,4.867,4.736,4.892,4.951,4.829
67,4.926,1.941,4.56,4.865,4.747,4.89,4.952,4.839
68,4.926,1.935,4.565,4.861,4.745,4.882,4.95,4.839
69,4.927,1.93,4.571,4.871,4.739,4.878,4.949,4.842
70,4.927,1.925,4.572,4.874,4.74,4.881,4.95,4.835
71,4.927,1.919,4.567,4.865,4.74,4.882,4.95,4.823
72,4.926,1.914,4.576,4.861,4.745,4.883,4.951,4.847
73,4.927,1.909,4.576,4.872,4.738,4.885,4.95,4.842
74,4.927,1.904,4.577,4.861,4.745,4.882,4.948,4.838
75,4.926,1.9,4.57,4.864,4.751,4.878,4.95,4.836
76,4.926,1.895,4.567,4.867,4.742,4.88,4.952,4.831
77,4.927,1.89,4.574,4.862,4.733,4.879,4.95,4.819
78,4.926,1.885,4.565,4.864,4.745,4.883,4.951,4.834
79,4.926,1.881,4.571,4.868,4.745,4.879,4.951,4.822
80,4.926,1.877,4.577,4.862,4.738,4.878,4.951,4.826
81,4.927,1.873,4.578,4.868,4.742,4.869,4.951,4.821
82,4.926,1.87,4.573,4.863,4.758,4.875,4.951,4.834
83,4.926,1.865,4.582,4.86,4.747,4.883,4.95,4.835
84,4.926,1.86,4.572,4.856,4.749,4.888,4.95,4.833
85,4.926,1.857,4.572,4.859,4.75,4.878,4.951,4.817
86,4.926,1.853,4.577,4.86,4.74,4.886,4.951,4.828
87,4.926,1.85,4.579,4.868,4.739,4.879,4.952,4.826
88,4.926,1.846,4.573,4.854,4.738,4.872,4.952,4.835
89,4.926,1.842,4.574,4.861,4.742,4.866,4.951,4.838
90,4.927,1.839,4.574,4.87,4.74,4.878,4.95,4.828
91,4.926,1.835,4.563,4.866,4.735,4.874,4.951,4.842
92,4.926,1.831,4.567,4.857,4.734,4.876,4.95,4.82
93,4.926,1.828,4.56,4.859,4.746,4.874,4.952,4.822
94,4.926,1.826,4.572,4.857,4.742,4.876,4.951,4.822
95,4.925,1.823,4.566,4.856,4.75,4.88,4.95,4.836
96,4.926,1.82,4.578,4.858,4.745,4.876,4.95,4.819
97,4.926,1.817,4.564,4.86,4.742,4.874,4.951,4.822
98,4.926,1.814,4.577,4.861,4.745,4.874,4.95,4.837
99,4.926,1.811,4.562,4.864,4.744,4.87,4.952,4.829
100,4.927,1.809,4.566,4.863,4.744,4.875,4.951,4.832
101,4.926,1.806,4.576,4.866,4.747,4.876,4.95,4.809
102,4.926,1.802,4.572,4.852,4.741,4.882,4.951,4.837
103,4.927,1.8,4.575,4.864,4.746,4.88,4.95,4.827
104,4.926,1.797,4.573,4.863,4.744,4.876,4.95,4.822
105,4.926,1.796,4.582,4.854,4.745,4.875,4.95,4.836
106,4.925,1.793,4.575,4.865,4.743,4.872,4.951,4.823
107,4.927,1.79,4.581,4.854,4.741,4.882,4.952,4.833
108,4.926,1.787,4.572,4.862,4.751,4.872,4.951,4.825
109,4.926,1.787,4.572,4.857,4.747,4.87,4.95,4.836
110,4.926,1.783,4.578,4.848,4.742,4.877,4.951,4.846
111,4.926,1.784,4.575,4.864,4.744,4.882,4.95,4.834
112,4.926,1.781,4.565,4.863,4.734,4.876,4.95,4.826
113,4.925,1.779,4.565,4.858,4.734,4.873,4.95,4.821
114,4.923,1.762,4.591,4.848,4.74,4.87,4.949,4.807
115,4.922,1.734,4.622,4.83,4.754,4.846,4.946,4.801
116,4.922,1.703,4.688,4.822,4.767,4.819,4.947,4.773
117,4.92,1.668,4.75,4.799,4.789,4.777,4.947,4.716
118,4.915,1.631,4.276,4.786,4.827,4.529,4.944,4.518
119,4.902,1.594,1.695,4.757,4.827,3.713,4.931,3.721
120,4.869,1.555,0.701,4.519,4.397,3.248,4.889,2.799
121,4.76,1.518,0.617,3.476,2.116,3.06,4.709,2.463
122,4.349,1.482,0.518,3.082,1.509,2.844,3.937,2.294
123,3.796,1.443,0.442,2.871,1.339,2.686,3.413,2.081
124,3.542,1.407,0.361,2.657,1.225,2.477,2.948,1.996
125,3.375,1.373,0.315,2.459,1.099,2.28,2.705,1.762
126,3.217,1.338,0.276,2.226,0.992,2.114,2.464,1.668
127,3.074,1.303,0.234,2.003,0.868,1.95,2.315,1.531
128,2.943,1.27,0.188,1.869,0.741,1.845,2.118,1.395
129,2.824,1.236,0.175,1.724,0.674,1.687,2.058,1.241
130,2.712,1.204,0.141,1.588,0.584,1.585,1.94,1.139
131,2.611,1.168,0.139,1.466,0.536,1.497,1.827,1.093
132,2.526,1.14,0.125,1.365,0.488,1.423,1.73,1.002
133,2.449,1.111,0.142,1.325,0.439,1.291,1.638,0.934
134,2.369,1.083,0.123,1.25,0.385,1.216,1.573,0.859
135,2.304,1.055,0.096,1.15,0.395,1.173,1.516,0.741
136,2.238,1.03,0.11,1.098,0.342,1.065,1.468,0.76
137,2.185,1.005,0.09,1.01,0.301,1.009,1.419,0.748
138,2.134,0.983,0.072,0.941,0.28,0.91,1.377,0.664
139,2.087,0.959,0.077,0.968,0.307,0.922,1.322,0.648
140,2.041,0.941,0.099,0.922,0.306,0.892,1.312,0.655
141,1.996,0.923,0.072,0.864,0.266,0.858,1.313,0.584
142,1.963,0.905,0.104,0.837,0.263,0.778,1.256,0.576
143,1.923,0.89,0.086,0.797,0.285,0.775,1.223,0.528
144,1.899,0.875,0.104,0.825,0.285,0.75,1.206,0.545
145,1.865,0.861,0.073,0.765,0.25,0.745,1.194,0.527
146,1.84,0.849,0.047,0.745,0.235,0.728,1.149,0.451
147,1.817,0.839,0.073,0.709,0.216,0.711,1.097,0.503
148,1.798,0.829,0.071,0.708,0.236,0.714,1.136,0.529
149,1.772,0.818,0.069,0.699,0.239,0.703,1.115,0.496
150,1.752,0.812,0.078,0.728,0.178,0.661,1.063,0.472
151,1.729,0.806,0.059,0.673,0.217,0.615,1.064,0.455
152,1.718,0.796,0.048,0.665,0.212,0.625,1.058,0.421
153,1.694,0.79,0.064,0.694,0.188,0.605,1.054,0.462
154,1.678,0.784,0.051,0.656,0.193,0.575,1.06,0.444
155,1.665,0.776,0.071,0.62,0.199,0.562,1.022,0.502
156,1.648,0.774,0.051,0.588,0.181,0.609,1.005,0.482
157,1.638,0.766,0.054,0.625,0.207,0.598,0.999,0.423
158,1.625,0.761,0.059,0.612,0.221,0.58,0.991,0.418
159,1.61,0.759,0.053,0.618,0.185,0.578,0.998,0.474
