,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.496,0.389,0.02,0.232,0.102,0.252,0.309,0.199
1,0.487,0.388,0.023,0.211,0.123,0.248,0.286,0.17
2,0.49,0.388,0.019,0.195,0.099,0.227,0.245,0.176
3,0.495,0.39,0.047,0.15,0.086,0.235,0.294,0.172
4,0.488,0.388,0.013,0.213,0.082,0.227,0.25,0.146
5,0.502,0.389,0.03,0.229,0.099,0.22,0.271,0.081
6,0.495,0.389,0.022,0.285,0.082,0.247,0.274,0.167
7,0.497,0.389,0.037,0.294,0.126,0.27,0.276,0.191
8,0.503,0.388,0.021,0.256,0.094,0.237,0.245,0.159
9,0.497,0.389,0.01,0.225,0.091,0.265,0.274,0.153
10,0.501,0.388,0.026,0.205,0.088,0.214,0.238,0.163
11,0.49,0.387,0.039,0.183,0.089,0.223,0.243,0.197
12,0.493,0.388,0.026,0.186,0.094,0.228,0.294,0.133
13,0.496,0.387,0.017,0.217,0.112,0.236,0.245,0.138
14,0.504,0.388,0.032,0.249,0.107,0.246,0.275,0.151
15,0.492,0.388,0.019,0.238,0.095,0.21,0.286,0.16
16,0.495,0.387,0.033,0.178,0.131,0.246,0.296,0.145
17,0.488,0.387,0.026,0.226,0.084,0.206,0.297,0.129
18,0.493,0.388,0.028,0.226,0.09,0.224,0.281,0.147
19,0.493,0.387,0.037,0.237,0.118,0.238,0.261,0.199
20,0.494,0.388,0.043,0.246,0.116,0.275,0.282,0.167
21,0.488,0.387,0.043,0.247,0.083,0.231,0.257,0.174
22,0.486,0.388,0.038,0.229,0.099,0.209,0.295,0.114
23,0.49,0.388,0.02,0.217,0.067,0.248,0.244,0.128
24,0.488,0.388,0.006,0.206,0.122,0.223,0.281,0.128
25,0.492,0.388,0.03,0.207,0.124,0.269,0.281,0.161
26,0.499,0.387,0.019,0.227,0.11,0.238,0.248,0.186
27,0.49,0.387,0.008,0.211,0.119,0.233,0.317,0.144
28,0.503,0.397,0.022,0.207,0.098,0.243,0.257,0.132
29,0.588,0.601,0.047,0.187,0.101,0.319,0.356,0.16
30,0.951,1.092,0.031,0.244,0.128,0.678,0.611,0.356
31,1.452,1.554,0.055,0.279,0.167,1.232,0.935,0.667
32,1.895,1.862,0.109,0.358,0.18,1.613,1.215,0.886
33,2.193,2.045,0.158,0.411,0.218,1.813,1.419,1.093
34,2.382,2.167,0.187,0.453,0.254,1.899,1.628,1.132
35,2.488,2.249,0.213,0.511,0.254,1.891,1.737,1.169
36,2.528,2.308,0.23,0.589,0.269,1.81,1.817,1.18
37,2.532,2.353,0.211,0.556,0.305,1.796,1.836,1.128
38,2.516,2.385,0.213,0.635,0.282,1.784,1.857,1.157
39,2.488,2.412,0.208,0.701,0.282,1.838,1.845,1.231
40,2.452,2.432,0.159,0.793,0.342,1.874,1.919,1.265
41,2.438,2.449,0.185,0.844,0.293,1.896,1.922,1.293
42,2.418,2.463,0.168,0.93,0.305,2.0,1.961,1.361
43,2.406,2.472,0.167,0.995,0.362,1.992,2.015,1.384
44,2.405,2.481,0.143,1.058,0.366,2.042,2.03,1.455
45,2.409,2.489,0.131,1.03,0.379,2.147,2.068,1.527
46,2.413,2.495,0.149,1.103,0.405,2.204,2.062,1.595
47,2.424,2.5,0.161,1.139,0.425,2.243,2.09,1.58
48,2.434,2.504,0.161,1.187,0.427,2.301,2.134,1.621
49,2.442,2.506,0.164,1.168,0.431,2.316,2.137,1.67
50,2.453,2.508,0.155,1.228,0.412,2.355,2.173,1.713
51,2.456,2.509,0.143,1.273,0.403,2.372,2.174,1.678
52,2.467,2.51,0.15,1.297,0.432,2.383,2.191,1.771
53,2.476,2.509,0.18,1.307,0.422,2.377,2.195,1.757
54,2.487,2.509,0.194,1.327,0.449,2.384,1.961,1.771
55,2.488,2.509,0.179,1.334,0.417,2.435,1.905,1.803
56,2.487,2.508,0.199,1.355,0.476,2.432,1.934,1.803
57,2.496,2.505,0.163,1.314,0.48,2.461,1.928,1.844
58,2.495,2.504,0.167,1.318,0.482,2.465,1.925,1.769
59,2.494,2.502,0.196,1.388,0.48,2.456,1.95,1.82
60,2.495,2.5,0.183,1.35,0.46,2.47,1.949,1.866
61,2.49,2.497,0.17,1.276,0.46,2.452,1.908,1.787
62,2.492,2.496,0.189,1.305,0.47,2.484,1.909,1.843
63,2.488,2.492,0.152,1.342,0.437,2.418,1.92,1.811
64,2.488,2.49,0.18,1.3,0.469,2.457,1.937,1.832
65,2.481,2.487,0.168,1.318,0.449,2.456,1.906,1.829
66,2.484,2.484,0.196,1.29,0.459,2.469,1.922,1.831
67,2.479,2.481,0.184,1.342,0.454,2.516,1.875,1.843
68,2.476,2.48,0.182,1.289,0.45,2.465,1.906,1.828
69,2.477,2.477,0.201,1.294,0.452,2.421,1.906,1.842
70,2.474,2.475,0.163,1.298,0.461,2.482,1.907,1.917
71,2.471,2.471,0.176,1.257,0.481,2.486,1.91,1.836
72,2.47,2.468,0.194,1.258,0.46,2.462,1.917,1.826
73,2.466,2.466,0.19,1.292,0.436,2.468,1.911,1.828
74,2.468,2.463,0.186,1.244,0.461,2.481,1.897,1.826
75,2.461,2.461,0.185,1.247,0.462,2.451,1.91,1.809
76,2.461,2.458,0.161,1.238,0.462,2.447,1.899,1.766
77,2.46,2.456,0.2,1.253,0.438,2.473,1.875,1.784
78,2.457,2.454,0.168,1.261,0.449,2.436,1.912,1.804
79,2.454,2.452,0.193,1.237,0.458,2.484,1.89,1.828
80,2.456,2.449,0.198,1.226,0.487,2.449,1.882,1.792
81,2.456,2.446,0.187,1.241,0.476,2.448,1.902,1.828
82,2.453,2.445,0.211,1.25,0.501,2.43,1.905,1.833
83,2.46,2.442,0.199,1.202,0.457,2.453,1.887,1.821
84,2.452,2.441,0.193,1.257,0.457,2.507,1.862,1.819
85,2.447,2.439,0.208,1.192,0.442,2.455,1.881,1.8
86,2.446,2.437,0.178,1.258,0.443,2.477,1.863,1.828
87,2.445,2.435,0.181,1.231,0.472,2.472,1.879,1.809
88,2.44,2.432,0.188,1.245,0.459,2.479,1.892,1.821
89,2.442,2.432,0.202,1.214,0.447,2.467,1.891,1.829
90,2.44,2.429,0.153,1.224,0.489,2.451,1.872,1.827
91,2.436,2.427,0.173,1.207,0.448,2.472,1.884,1.825
92,2.434,2.426,0.206,1.198,0.445,2.428,1.869,1.793
93,2.437,2.422,0.2,1.194,0.388,2.47,1.837,1.841
94,2.433,2.422,0.191,1.209,0.452,2.436,1.909,1.802
95,2.434,2.421,0.176,1.241,0.445,2.479,1.869,1.841
96,2.427,2.419,0.143,1.202,0.467,2.469,1.876,1.833
97,2.44,2.417,0.18,1.221,0.467,2.461,1.849,1.846
98,2.434,2.416,0.211,1.191,0.468,2.478,1.856,1.84
99,2.43,2.415,0.177,1.18,0.435,2.495,1.844,1.845
100,2.426,2.413,0.182,1.223,0.472,2.463,1.868,1.81
101,2.427,2.412,0.189,1.159,0.453,2.447,1.852,1.792
102,2.427,2.41,0.185,1.161,0.42,2.44,1.833,1.799
103,2.424,2.409,0.198,1.197,0.44,2.468,1.857,1.82
104,2.423,2.409,0.186,1.241,0.452,2.464,1.864,1.787
105,2.425,2.407,0.19,1.198,0.377,2.445,1.846,1.817
106,2.421,2.406,0.199,1.196,0.46,2.482,1.862,1.845
107,2.423,2.404,0.198,1.209,0.452,2.483,1.857,1.777
108,2.422,2.403,0.196,1.227,0.407,2.478,1.872,1.836
109,2.419,2.402,0.199,1.225,0.435,2.476,1.875,1.889
110,2.414,2.4,0.184,1.143,0.4,2.45,1.818,1.825
111,2.408,2.4,0.174,1.196,0.43,2.49,1.841,1.833
112,2.401,2.398,0.157,1.211,0.467,2.476,1.852,1.8
113,2.406,2.397,0.2,1.203,0.45,2.449,1.839,1.794
114,2.4,2.396,0.184,1.195,0.471,2.431,1.837,1.79
115,2.397,2.394,0.159,1.21,0.425,2.464,1.811,1.824
116,2.395,2.392,0.194,1.193,0.437,2.476,1.834,1.846
117,2.396,2.392,0.166,1.176,0.428,2.404,1.838,1.754
118,2.384,2.386,0.181,1.161,0.434,2.452,1.833,1.812
119,2.342,2.369,0.184,1.131,0.393,2.339,1.775,1.67
120,2.274,2.343,0.164,1.085,0.463,2.236,1.753,1.539
121,2.194,2.313,0.184,1.023,0.369,2.108,1.666,1.483
122,2.102,2.282,0.153,1.001,0.39,1.96,1.59,1.294
123,2.012,2.251,0.13,0.944,0.363,1.804,1.484,1.136
124,1.925,2.221,0.155,0.839,0.363,1.662,1.382,1.025
125,1.834,2.189,0.102,0.819,0.355,1.502,1.313,0.904
126,1.754,2.159,0.125,0.773,0.3,1.347,1.19,0.782
127,1.678,2.127,0.12,0.771,0.314,1.226,1.091,0.689
128,1.597,2.097,0.133,0.687,0.28,1.109,1.07,0.608
129,1.523,2.067,0.091,0.591,0.301,0.983,1.009,0.518
130,1.459,2.039,0.13,0.582,0.285,0.9,0.929,0.519
131,1.399,2.01,0.109,0.556,0.289,0.793,0.914,0.533
132,1.341,1.978,0.116,0.542,0.313,0.8,0.829,0.427
133,1.292,1.948,0.114,0.556,0.259,0.754,0.821,0.436
134,1.24,1.921,0.086,0.497,0.254,0.723,0.75,0.356
135,1.199,1.891,0.111,0.453,0.24,0.643,0.721,0.413
136,1.148,1.863,0.111,0.48,0.26,0.578,0.704,0.34
137,1.11,1.836,0.087,0.445,0.252,0.591,0.648,0.369
138,1.082,1.808,0.083,0.422,0.2,0.582,0.63,0.368
139,1.056,1.784,0.069,0.443,0.213,0.535,0.595,0.354
140,1.021,1.758,0.058,0.429,0.251,0.542,0.579,0.307
141,0.996,1.73,0.084,0.375,0.234,0.477,0.552,0.254
142,0.974,1.704,0.074,0.323,0.234,0.309,0.579,0.317
143,0.954,1.68,0.058,0.441,0.21,0.458,0.577,0.294
144,0.935,1.656,0.065,0.395,0.205,0.482,0.552,0.312
145,0.908,1.63,0.044,0.373,0.178,0.481,0.535,0.269
146,0.89,1.606,0.051,0.356,0.185,0.465,0.531,0.272
147,0.872,1.582,0.051,0.401,0.123,0.451,0.479,0.301
148,0.86,1.559,0.036,0.388,0.17,0.423,0.491,0.25
149,0.851,1.536,0.06,0.364,0.187,0.389,0.496,0.259
150,0.832,1.514,0.033,0.33,0.203,0.329,0.486,0.208
151,0.817,1.493,0.045,0.324,0.181,0.399,0.48,0.189
152,0.817,1.47,0.045,0.341,0.157,0.351,0.451,0.247
153,0.795,1.45,0.047,0.33,0.166,0.321,0.459,0.192
154,0.802,1.43,0.036,0.356,0.172,0.371,0.461,0.211
155,0.78,1.409,0.037,0.363,0.202,0.333,0.45,0.232
156,0.771,1.389,0.038,0.316,0.188,0.34,0.477,0.193
157,0.757,1.369,0.041,0.295,0.151,0.378,0.436,0.337
158,0.76,1.352,0.032,0.319,0.168,0.354,0.429,0.205
159,0.747,1.332,0.037,0.304,0.134,0.315,0.452,0.198
160,0.738,1.313,0.049,0.273,0.13,0.343,0.389,0.206
161,0.731,1.295,0.047,0.285,0.143,0.297,0.41,0.233
162,0.725,1.277,0.02,0.329,0.132,0.338,0.43,0.252
163,0.714,1.259,0.038,0.322,0.169,0.372,0.437,0.211
164,0.705,1.242,0.035,0.308,0.138,0.336,0.434,0.162
165,0.715,1.224,0.035,0.334,0.137,0.337,0.408,0.191
166,0.704,1.207,0.03,0.311,0.115,0.31,0.367,0.193
167,0.705,1.19,0.053,0.274,0.118,0.291,0.394,0.213
168,0.695,1.171,0.044,0.278,0.157,0.274,0.405,0.207
169,0.687,1.153,0.036,0.319,0.123,0.31,0.403,0.142
170,0.682,1.134,0.025,0.307,0.169,0.328,0.409,0.115
171,0.682,1.111,0.03,0.262,0.132,0.256,0.381,0.222
172,0.672,1.085,0.035,0.231,0.145,0.302,0.381,0.178
173,0.681,1.062,0.016,0.286,0.169,0.327,0.394,0.255
174,0.672,1.038,0.047,0.312,0.157,0.33,0.395,0.206
175,0.674,1.012,0.032,0.288,0.138,0.281,0.388,0.198
176,0.665,0.986,0.053,0.305,0.144,0.283,0.387,0.234
177,0.668,0.962,0.043,0.289,0.142,0.28,0.344,0.199
