,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.191,0.631,0.138,0.595,0.221,0.407,0.569,0.204
1,1.19,0.629,0.139,0.622,0.245,0.424,0.587,0.179
2,1.192,0.629,0.109,0.587,0.242,0.386,0.587,0.155
3,1.187,0.629,0.108,0.625,0.224,0.375,0.599,0.191
4,1.181,0.63,0.127,0.621,0.205,0.376,0.571,0.207
5,1.19,0.63,0.13,0.655,0.231,0.406,0.616,0.255
6,1.198,0.63,0.109,0.589,0.267,0.385,0.567,0.222
7,1.179,0.628,0.089,0.653,0.266,0.377,0.555,0.175
8,1.184,0.629,0.113,0.646,0.236,0.334,0.613,0.218
9,1.195,0.628,0.118,0.67,0.258,0.33,0.587,0.219
10,1.182,0.63,0.124,0.64,0.263,0.376,0.628,0.233
11,1.179,0.628,0.115,0.658,0.233,0.338,0.646,0.151
12,1.187,0.627,0.14,0.65,0.229,0.295,0.603,0.155
13,1.186,0.626,0.107,0.58,0.274,0.368,0.563,0.164
14,1.18,0.627,0.125,0.685,0.222,0.342,0.576,0.276
15,1.187,0.625,0.116,0.634,0.247,0.338,0.62,0.173
16,1.187,0.626,0.122,0.674,0.24,0.305,0.617,0.187
17,1.193,0.626,0.146,0.589,0.217,0.397,0.567,0.211
18,1.184,0.626,0.079,0.661,0.247,0.313,0.601,0.199
19,1.187,0.626,0.103,0.638,0.24,0.294,0.607,0.195
20,1.186,0.626,0.127,0.61,0.208,0.324,0.578,0.233
21,1.188,0.626,0.142,0.619,0.215,0.326,0.614,0.235
22,1.178,0.625,0.122,0.608,0.187,0.334,0.586,0.286
23,1.169,0.624,0.101,0.602,0.233,0.313,0.609,0.185
24,1.221,0.831,0.145,0.635,0.283,0.402,0.641,0.23
25,1.69,1.595,0.403,0.782,0.591,0.568,1.113,0.371
26,2.324,2.075,0.851,1.084,0.933,1.019,1.81,0.728
27,2.693,2.291,1.114,1.288,1.129,1.443,2.304,1.007
28,2.894,2.409,1.119,1.516,1.197,1.661,2.522,1.252
29,3.034,2.486,1.134,1.801,1.205,1.908,2.613,1.509
30,3.174,2.536,1.136,2.074,1.157,2.25,2.673,1.793
31,3.305,2.57,1.189,2.279,1.223,2.566,2.75,2.127
32,3.443,2.593,1.245,2.616,1.271,2.816,2.871,2.364
33,3.563,2.61,1.31,2.822,1.372,3.067,2.97,2.637
34,3.671,2.625,1.386,3.034,1.469,3.217,3.082,2.879
35,3.753,2.635,1.497,3.268,1.644,3.337,3.174,2.94
36,3.819,2.639,1.588,3.35,1.738,3.41,3.243,3.082
37,3.87,2.643,1.618,3.481,1.812,3.529,3.298,3.106
38,3.911,2.646,1.691,3.545,1.87,3.576,3.345,3.151
39,3.943,2.646,1.729,3.608,1.949,3.619,3.368,3.212
40,3.968,2.648,1.766,3.636,1.987,3.64,3.391,3.26
41,3.988,2.648,1.826,3.691,2.015,3.65,3.422,3.201
42,4.002,2.647,1.775,3.778,2.044,3.708,3.447,3.233
43,4.016,2.647,1.808,3.708,2.097,3.681,3.505,3.25
44,4.022,2.647,1.759,3.726,2.139,3.655,3.495,3.287
45,4.03,2.646,1.781,3.755,2.082,3.716,3.495,3.248
46,4.035,2.642,1.804,3.773,2.087,3.725,3.476,3.287
47,4.039,2.643,1.818,3.703,2.081,3.703,3.494,3.308
48,4.044,2.641,1.827,3.75,2.054,3.75,3.547,3.23
49,4.046,2.641,1.825,3.752,2.039,3.737,3.509,3.298
50,4.048,2.639,1.791,3.75,2.069,3.739,3.52,3.291
51,4.046,2.637,1.831,3.745,2.126,3.731,3.51,3.23
52,4.047,2.636,1.822,3.732,2.123,3.736,3.524,3.232
53,4.048,2.635,1.8,3.732,2.106,3.7,3.486,3.334
54,4.048,2.634,1.806,3.746,2.047,3.731,3.493,3.3
55,4.049,2.633,1.82,3.755,2.072,3.763,3.506,3.302
56,4.049,2.632,1.812,3.739,2.046,3.744,3.507,3.289
57,4.048,2.632,1.798,3.752,2.032,3.712,3.496,3.286
58,4.049,2.631,1.796,3.726,2.026,3.728,3.513,3.295
59,4.048,2.629,1.788,3.724,2.063,3.724,3.502,3.329
60,4.048,2.628,1.781,3.756,2.06,3.767,3.513,3.253
61,4.051,2.627,1.838,3.695,2.063,3.73,3.496,3.296
62,4.05,2.627,1.823,3.735,2.062,3.747,3.523,3.263
63,4.048,2.627,1.81,3.736,2.043,3.773,3.509,3.28
64,4.05,2.626,1.808,3.716,2.058,3.739,3.498,3.282
65,4.048,2.626,1.793,3.673,2.061,3.754,3.509,3.315
66,4.048,2.624,1.817,3.71,2.035,3.741,3.489,3.303
67,4.05,2.624,1.821,3.697,2.039,3.78,3.495,3.254
68,4.05,2.623,1.816,3.723,2.028,3.755,3.52,3.277
69,4.048,2.621,1.795,3.73,2.042,3.812,3.514,3.316
70,4.048,2.622,1.807,3.697,2.026,3.797,3.505,3.267
71,4.047,2.622,1.806,3.64,2.034,3.842,3.504,3.325
72,4.049,2.621,1.795,3.667,2.052,3.844,3.496,3.334
73,4.048,2.621,1.809,3.702,2.028,3.783,3.511,3.303
74,4.049,2.621,1.798,3.674,2.128,3.767,3.506,3.3
75,4.049,2.619,1.768,3.715,2.072,3.789,3.509,3.29
76,4.049,2.619,1.775,3.685,2.094,3.814,3.484,3.271
77,4.05,2.618,1.79,3.725,2.131,3.756,3.508,3.287
78,4.048,2.618,1.788,3.694,2.083,3.771,3.486,3.316
79,4.051,2.617,1.8,3.718,2.109,3.765,3.509,3.255
80,4.052,2.617,1.779,3.707,2.097,3.79,3.499,3.293
81,4.049,2.617,1.794,3.638,2.151,3.77,3.553,3.289
82,4.049,2.617,1.804,3.721,2.137,3.741,3.51,3.257
83,4.049,2.617,1.789,3.671,2.123,3.765,3.522,3.275
84,4.049,2.616,1.79,3.667,2.138,3.796,3.518,3.304
85,4.052,2.616,1.795,3.693,2.093,3.815,3.536,3.258
86,4.052,2.616,1.776,3.696,2.109,3.784,3.546,3.279
