,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.663,0.419,0.023,0.213,0.118,0.231,0.249,0.102
1,0.661,0.419,0.031,0.189,0.124,0.241,0.231,0.118
2,0.665,0.419,0.023,0.243,0.081,0.246,0.225,0.138
3,0.658,0.418,0.04,0.216,0.091,0.261,0.248,0.17
4,0.656,0.418,0.044,0.197,0.109,0.212,0.256,0.167
5,0.655,0.417,0.031,0.244,0.097,0.253,0.291,0.108
6,0.655,0.417,0.035,0.229,0.133,0.232,0.262,0.182
7,0.658,0.418,0.024,0.207,0.094,0.217,0.259,0.175
8,0.662,0.416,0.034,0.229,0.104,0.193,0.306,0.139
9,0.665,0.418,0.044,0.201,0.107,0.198,0.236,0.142
10,0.659,0.418,0.026,0.245,0.085,0.237,0.251,0.142
11,0.666,0.417,0.018,0.215,0.103,0.202,0.257,0.153
12,0.666,0.417,0.016,0.246,0.076,0.261,0.241,0.12
13,0.661,0.416,0.024,0.184,0.117,0.206,0.257,0.174
14,0.661,0.417,0.012,0.215,0.115,0.184,0.244,0.093
15,0.659,0.416,0.02,0.214,0.089,0.197,0.244,0.14
16,0.661,0.416,0.021,0.199,0.082,0.208,0.246,0.118
17,0.656,0.417,0.049,0.193,0.139,0.189,0.313,0.154
18,0.663,0.417,0.018,0.136,0.111,0.201,0.26,0.179
19,0.66,0.418,0.031,0.19,0.121,0.199,0.281,0.133
20,0.663,0.417,0.03,0.209,0.105,0.189,0.255,0.129
21,0.66,0.415,0.033,0.178,0.1,0.214,0.27,0.105
22,0.661,0.415,0.035,0.206,0.124,0.23,0.266,0.112
23,0.651,0.415,0.034,0.207,0.13,0.218,0.252,0.084
24,0.663,0.416,0.049,0.215,0.122,0.23,0.269,0.105
25,0.668,0.416,0.018,0.214,0.094,0.239,0.223,0.161
26,0.662,0.416,0.02,0.222,0.121,0.263,0.27,0.147
27,0.665,0.416,0.027,0.208,0.091,0.215,0.254,0.154
28,0.654,0.415,0.04,0.228,0.112,0.197,0.282,0.119
29,0.665,0.436,0.03,0.206,0.103,0.208,0.231,0.105
30,0.724,0.663,0.019,0.197,0.085,0.253,0.278,0.112
31,0.926,1.072,0.059,0.245,0.1,0.33,0.513,0.219
32,1.123,1.369,0.078,0.207,0.141,0.491,0.748,0.296
33,1.244,1.537,0.102,0.282,0.141,0.597,0.907,0.364
34,1.31,1.635,0.145,0.253,0.134,0.63,0.969,0.39
35,1.34,1.712,0.152,0.362,0.163,0.585,1.024,0.315
36,1.36,1.793,0.181,0.354,0.16,0.596,1.08,0.381
37,1.368,1.838,0.174,0.351,0.179,0.676,1.042,0.418
38,1.377,1.868,0.147,0.373,0.165,0.669,1.088,0.392
39,1.38,1.886,0.124,0.448,0.174,0.655,1.1,0.4
40,1.399,1.854,0.117,0.399,0.186,0.664,1.081,0.412
41,1.403,1.911,0.109,0.455,0.168,0.71,1.043,0.418
42,1.416,1.924,0.111,0.513,0.206,0.677,1.037,0.458
43,1.427,1.929,0.105,0.495,0.253,0.678,1.026,0.347
44,1.447,1.932,0.077,0.572,0.208,0.705,1.01,0.414
45,1.468,1.936,0.091,0.558,0.203,0.677,1.037,0.468
46,1.484,1.937,0.084,0.561,0.197,0.793,1.027,0.468
47,1.515,1.938,0.106,0.579,0.189,0.843,1.032,0.459
48,1.521,1.938,0.064,0.614,0.236,0.861,1.029,0.472
49,1.537,1.935,0.061,0.637,0.233,0.848,1.019,0.533
50,1.559,1.931,0.075,0.616,0.219,0.86,1.066,0.522
51,1.574,1.925,0.057,0.691,0.226,0.891,1.078,0.489
52,1.59,1.928,0.066,0.704,0.231,0.862,1.059,0.566
53,1.612,1.924,0.074,0.736,0.259,0.947,1.086,0.563
54,1.621,1.92,0.061,0.756,0.263,0.941,1.102,0.535
55,1.636,1.917,0.062,0.715,0.227,0.96,1.116,0.545
56,1.652,1.911,0.055,0.731,0.291,0.959,1.134,0.575
57,1.665,1.907,0.081,0.766,0.279,0.999,1.094,0.646
58,1.679,1.903,0.066,0.765,0.257,0.982,1.119,0.557
59,1.692,1.898,0.087,0.837,0.271,1.008,1.15,0.609
60,1.702,1.894,0.089,0.802,0.3,0.981,1.162,0.595
61,1.716,1.889,0.055,0.868,0.271,1.023,1.141,0.611
62,1.72,1.885,0.073,0.902,0.338,0.99,1.12,0.576
63,1.733,1.879,0.079,0.875,0.324,1.042,1.13,0.601
64,1.743,1.875,0.064,0.874,0.306,1.086,1.18,0.603
65,1.752,1.87,0.07,0.852,0.256,1.068,1.19,0.696
66,1.758,1.865,0.064,0.914,0.281,1.055,1.152,0.627
67,1.767,1.859,0.074,0.862,0.299,1.034,1.182,0.678
68,1.778,1.855,0.063,0.923,0.281,1.076,1.197,0.575
69,1.785,1.853,0.067,0.914,0.279,1.079,1.185,0.646
70,1.794,1.845,0.054,0.9,0.324,1.101,1.196,0.641
71,1.81,1.841,0.094,0.902,0.323,1.087,1.181,0.666
72,1.807,1.836,0.086,0.93,0.304,1.094,1.213,0.632
73,1.807,1.832,0.058,0.952,0.336,1.128,1.215,0.61
74,1.818,1.827,0.075,0.919,0.302,1.115,1.237,0.654
75,1.825,1.822,0.059,0.947,0.321,1.114,1.213,0.614
76,1.828,1.818,0.07,0.934,0.331,1.091,1.21,0.768
77,1.827,1.813,0.086,0.793,0.312,1.066,1.174,0.811
78,1.84,1.808,0.082,0.928,0.357,1.033,1.202,0.672
79,1.838,1.804,0.063,0.964,0.327,1.102,1.207,0.664
80,1.843,1.798,0.079,0.962,0.346,1.118,1.228,0.683
81,1.847,1.795,0.063,0.946,0.334,1.082,1.23,0.679
82,1.851,1.79,0.049,0.964,0.302,1.116,1.26,0.677
83,1.847,1.787,0.054,0.945,0.334,1.117,1.241,0.715
84,1.855,1.782,0.069,0.929,0.322,1.123,1.23,0.672
85,1.855,1.78,0.077,0.975,0.325,1.087,1.226,0.654
86,1.863,1.775,0.072,0.962,0.303,1.107,1.247,0.707
87,1.864,1.772,0.064,0.92,0.319,1.12,1.259,0.723
88,1.862,1.768,0.062,0.954,0.357,1.111,1.274,0.611
89,1.859,1.763,0.086,0.987,0.335,1.145,1.224,0.722
90,1.86,1.761,0.094,0.98,0.329,1.139,1.243,0.683
91,1.861,1.758,0.052,0.954,0.357,1.147,1.214,0.623
92,1.863,1.754,0.06,0.951,0.341,1.081,1.265,0.593
93,1.864,1.749,0.058,0.981,0.349,1.13,1.234,0.719
94,1.86,1.745,0.047,0.934,0.323,1.099,1.263,0.707
95,1.864,1.742,0.057,0.973,0.336,1.141,1.265,0.691
96,1.864,1.738,0.097,0.931,0.298,1.115,1.223,0.728
97,1.863,1.735,0.066,0.983,0.349,1.115,1.258,0.717
98,1.869,1.732,0.104,0.957,0.334,1.11,1.28,0.674
99,1.865,1.729,0.079,0.954,0.329,1.149,1.195,0.649
100,1.865,1.724,0.084,0.978,0.315,1.095,1.245,0.746
