,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.057,0.519,0.039,0.292,0.182,0.324,0.454,0.207
1,1.052,0.52,0.048,0.341,0.19,0.317,0.467,0.208
2,1.055,0.521,0.037,0.3,0.174,0.334,0.443,0.145
3,1.04,0.521,0.038,0.33,0.187,0.358,0.467,0.171
4,1.051,0.519,0.049,0.312,0.146,0.314,0.448,0.197
5,1.055,0.518,0.046,0.319,0.193,0.33,0.473,0.212
6,1.058,0.519,0.053,0.271,0.185,0.368,0.469,0.228
7,1.049,0.52,0.029,0.289,0.213,0.321,0.441,0.184
8,1.048,0.518,0.029,0.308,0.16,0.306,0.475,0.177
9,1.049,0.519,0.036,0.336,0.149,0.312,0.442,0.222
10,1.049,0.518,0.078,0.256,0.217,0.329,0.483,0.197
11,1.046,0.52,0.038,0.305,0.174,0.348,0.488,0.276
12,1.045,0.519,0.036,0.272,0.201,0.33,0.463,0.209
13,1.046,0.519,0.061,0.259,0.185,0.327,0.442,0.173
14,1.046,0.519,0.05,0.306,0.171,0.325,0.486,0.178
15,1.046,0.518,0.021,0.308,0.208,0.37,0.452,0.187
16,1.043,0.519,0.07,0.283,0.153,0.35,0.472,0.154
17,1.04,0.519,0.029,0.314,0.165,0.355,0.451,0.165
18,1.051,0.519,0.031,0.305,0.153,0.354,0.464,0.188
19,1.05,0.521,0.041,0.334,0.157,0.302,0.45,0.159
20,1.047,0.519,0.013,0.321,0.149,0.339,0.441,0.174
21,1.047,0.518,0.055,0.309,0.172,0.356,0.455,0.165
22,1.044,0.515,0.036,0.299,0.173,0.331,0.446,0.18
23,1.047,0.518,0.048,0.356,0.172,0.337,0.487,0.123
24,1.059,0.518,0.043,0.293,0.172,0.283,0.476,0.184
25,1.047,0.518,0.04,0.31,0.161,0.31,0.461,0.217
26,1.045,0.518,0.034,0.33,0.155,0.34,0.44,0.248
27,1.048,0.521,0.019,0.323,0.181,0.29,0.477,0.165
28,1.054,0.519,0.04,0.305,0.173,0.375,0.453,0.235
29,1.053,0.533,0.043,0.296,0.162,0.34,0.459,0.176
30,1.136,0.704,0.039,0.285,0.222,0.385,0.559,0.242
31,1.4,1.012,0.054,0.353,0.188,0.544,0.761,0.346
32,1.609,1.207,0.087,0.37,0.222,0.69,0.951,0.464
33,1.758,1.335,0.115,0.396,0.225,0.87,1.101,0.6
34,1.87,1.417,0.095,0.473,0.248,1.038,1.209,0.726
35,1.964,1.471,0.087,0.55,0.272,1.163,1.324,0.828
36,2.064,1.51,0.105,0.601,0.309,1.255,1.425,0.908
37,2.164,1.541,0.104,0.798,0.358,1.441,1.522,1.035
38,2.275,1.559,0.072,0.897,0.402,1.636,1.654,1.197
39,2.401,1.575,0.108,1.066,0.423,1.922,1.767,1.365
40,2.534,1.587,0.117,1.285,0.518,2.096,1.926,1.501
41,2.674,1.596,0.131,1.501,0.604,2.375,2.082,1.715
42,2.813,1.603,0.177,1.759,0.702,2.559,2.267,1.855
43,2.959,1.607,0.183,2.076,0.783,2.775,2.408,2.102
44,3.097,1.61,0.224,2.288,0.922,2.92,2.582,2.266
45,3.225,1.612,0.296,2.611,1.081,3.144,2.727,2.504
46,3.351,1.615,0.439,2.877,1.191,3.255,2.954,2.681
47,3.471,1.616,1.023,3.132,1.326,3.449,3.145,3.239
48,3.597,1.614,2.624,3.473,1.458,3.583,3.444,4.153
49,3.751,1.613,3.826,3.993,1.617,3.925,3.947,4.706
50,3.997,1.611,4.164,4.646,1.764,4.511,4.371,4.835
51,4.323,1.61,4.087,4.88,1.928,4.832,4.662,4.847
52,4.568,1.606,3.976,4.91,2.259,4.899,4.821,4.814
