,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.284,0.6,0.101,0.586,0.228,0.393,0.673,0.209
1,1.289,0.6,0.079,0.495,0.227,0.441,0.679,0.276
2,1.292,0.601,0.077,0.517,0.201,0.435,0.629,0.268
3,1.291,0.599,0.063,0.525,0.197,0.436,0.6,0.262
4,1.293,0.598,0.061,0.486,0.175,0.442,0.647,0.247
5,1.282,0.598,0.107,0.46,0.203,0.414,0.634,0.261
6,1.287,0.599,0.133,0.5,0.199,0.483,0.594,0.273
7,1.287,0.599,0.129,0.432,0.189,0.448,0.647,0.27
8,1.285,0.597,0.106,0.551,0.162,0.4,0.592,0.246
9,1.288,0.598,0.101,0.566,0.206,0.457,0.628,0.215
10,1.285,0.596,0.087,0.53,0.18,0.449,0.619,0.266
11,1.283,0.599,0.089,0.516,0.129,0.408,0.594,0.259
12,1.283,0.599,0.109,0.519,0.201,0.464,0.61,0.221
13,1.286,0.597,0.097,0.525,0.188,0.425,0.57,0.245
14,1.288,0.598,0.085,0.551,0.185,0.456,0.576,0.194
15,1.284,0.597,0.083,0.511,0.168,0.444,0.625,0.214
16,1.288,0.597,0.077,0.492,0.187,0.453,0.599,0.246
17,1.296,0.597,0.088,0.412,0.205,0.457,0.614,0.255
18,1.282,0.598,0.115,0.534,0.232,0.473,0.598,0.203
19,1.284,0.598,0.109,0.489,0.194,0.429,0.632,0.181
20,1.28,0.597,0.102,0.504,0.191,0.442,0.603,0.186
21,1.286,0.598,0.094,0.468,0.162,0.401,0.567,0.129
22,1.285,0.598,0.088,0.505,0.169,0.459,0.595,0.217
23,1.284,0.596,0.102,0.544,0.182,0.46,0.59,0.19
24,1.337,0.739,0.113,0.55,0.23,0.537,0.629,0.232
25,1.805,1.285,0.165,0.569,0.352,0.689,1.096,0.519
26,2.236,1.588,0.259,0.781,0.457,1.159,1.551,0.78
27,2.523,1.723,0.33,1.139,0.518,1.708,1.91,1.195
28,2.824,1.797,0.58,1.64,0.71,2.354,2.246,1.724
29,3.195,1.841,1.468,2.388,1.039,3.169,2.662,2.914
30,3.645,1.87,4.249,3.448,2.473,4.062,3.243,4.621
31,4.264,1.883,4.798,4.74,4.548,4.837,3.887,4.902
32,4.702,1.889,4.83,4.952,4.866,4.953,4.167,4.916
33,4.869,1.89,4.823,4.966,4.888,4.953,4.237,4.914
34,4.917,1.887,4.821,4.963,4.881,4.955,4.229,4.909
35,4.931,1.879,4.807,4.962,4.876,4.951,4.238,4.905
36,4.932,1.872,4.804,4.956,4.866,4.944,4.233,4.9
37,4.932,1.862,4.789,4.948,4.858,4.942,4.25,4.899
38,4.932,1.85,4.774,4.942,4.846,4.942,4.238,4.898
39,4.932,1.838,4.772,4.938,4.837,4.943,4.223,4.886
40,4.931,1.826,4.762,4.939,4.827,4.934,4.235,4.881
41,4.931,1.813,4.759,4.934,4.83,4.933,4.246,4.868
42,4.931,1.8,4.75,4.933,4.816,4.943,4.235,4.895
43,4.93,1.787,4.742,4.929,4.808,4.939,4.243,4.878
44,4.929,1.774,4.742,4.923,4.807,4.936,4.241,4.882
45,4.928,1.762,4.74,4.932,4.801,4.932,4.276,4.87
46,4.927,1.75,4.739,4.934,4.798,4.931,4.26,4.86
47,4.927,1.738,4.734,4.927,4.796,4.932,4.251,4.874
48,4.927,1.727,4.735,4.92,4.801,4.93,4.266,4.862
49,4.926,1.715,4.733,4.923,4.797,4.927,4.246,4.866
50,4.927,1.705,4.734,4.925,4.798,4.932,4.273,4.855
51,4.927,1.693,4.732,4.928,4.809,4.926,4.289,4.865
52,4.927,1.684,4.734,4.922,4.793,4.936,4.27,4.869
53,4.926,1.674,4.73,4.925,4.793,4.928,4.276,4.868
54,4.927,1.664,4.73,4.929,4.791,4.925,4.264,4.865
55,4.927,1.655,4.735,4.91,4.796,4.929,4.267,4.865
56,4.927,1.648,4.732,4.929,4.791,4.928,4.268,4.858
57,4.926,1.638,4.742,4.918,4.804,4.924,4.263,4.876
58,4.927,1.631,4.736,4.921,4.793,4.931,4.253,4.858
59,4.926,1.622,4.734,4.922,4.793,4.928,4.278,4.87
60,4.927,1.615,4.738,4.92,4.801,4.928,4.256,4.867
61,4.926,1.607,4.738,4.922,4.796,4.929,4.262,4.864
62,4.927,1.6,4.739,4.928,4.793,4.929,4.255,4.868
63,4.926,1.594,4.738,4.927,4.791,4.924,4.27,4.857
64,4.926,1.588,4.735,4.923,4.793,4.928,4.26,4.863
65,4.925,1.583,4.738,4.926,4.795,4.92,4.269,4.867
66,4.926,1.577,4.741,4.924,4.794,4.93,4.276,4.868
67,4.925,1.572,4.738,4.922,4.796,4.924,4.274,4.862
68,4.926,1.567,4.736,4.932,4.8,4.931,4.262,4.856
69,4.926,1.562,4.738,4.927,4.793,4.926,4.264,4.862
70,4.925,1.557,4.742,4.924,4.793,4.927,4.266,4.863
71,4.926,1.553,4.735,4.923,4.793,4.927,4.259,4.867
72,4.926,1.55,4.733,4.923,4.798,4.923,4.275,4.865
73,4.925,1.546,4.737,4.917,4.796,4.924,4.269,4.86
74,4.925,1.541,4.743,4.921,4.796,4.922,4.258,4.869
75,4.925,1.537,4.732,4.926,4.787,4.928,4.269,4.874
76,4.924,1.534,4.729,4.923,4.8,4.923,4.274,4.862
77,4.925,1.53,4.736,4.922,4.791,4.929,4.257,4.87
78,4.924,1.529,4.735,4.918,4.794,4.927,4.254,4.865
79,4.924,1.524,4.736,4.917,4.79,4.923,4.291,4.859
80,4.924,1.52,4.736,4.919,4.79,4.926,4.267,4.879
81,4.924,1.518,4.737,4.92,4.796,4.925,4.27,4.871
82,4.924,1.516,4.736,4.923,4.788,4.925,4.264,4.867
83,4.924,1.513,4.735,4.915,4.79,4.936,4.268,4.864
84,4.923,1.511,4.734,4.921,4.793,4.925,4.269,4.865
85,4.923,1.509,4.731,4.924,4.789,4.923,4.282,4.852
86,4.923,1.508,4.737,4.921,4.794,4.922,4.27,4.865
87,4.923,1.504,4.738,4.919,4.793,4.922,4.278,4.86
