,MQ-2_DG,MQ-3_DG,MQ-5_DG,MQ-6_DG,MQ-8_DG,MQ-9_DG,MQ-135_DG,MQ-138_DG,MQ-2_PK,MQ-3_PK,MQ-5_PK,MQ-6_PK,MQ-8_PK,MQ-9_PK,MQ-135_PK,MQ-138_PK,MQ-2_MN,MQ-3_MN,MQ-5_MN,MQ-6_MN,MQ-8_MN,MQ-9_MN,MQ-135_MN,MQ-138_MN,MQ-2_RT,MQ-3_RT,MQ-5_RT,MQ-6_RT,MQ-8_RT,MQ-9_RT,MQ-135_RT,MQ-138_RT,MQ-2_FT,MQ-3_FT,MQ-5_FT,MQ-6_FT,MQ-8_FT,MQ-9_FT,MQ-135_FT,MQ-138_FT,MQ-2_AI,MQ-3_AI,MQ-5_AI,MQ-6_AI,MQ-8_AI,MQ-9_AI,MQ-135_AI,MQ-138_AI,MQ-2_DI,MQ-3_DI,MQ-5_DI,MQ-6_DI,MQ-8_DI,MQ-9_DI,MQ-135_DI,MQ-138_DI,Reference_Red,Phenol Red_Red,Methylene Blue_Red,Methyl Red_Red,Reference_Green,Phenol Red_Green,Methylene Blue_Green,Methyl Red_Green,Reference_Blue,Phenol Red_Blue,Methylene Blue_Blue,Methyl Red_Blue,Reference_Hue,Phenol Red_Hue,Methylene Blue_Hue,Methyl Red_Hue,Reference_Saturation,Phenol Red_Saturation,Methylene Blue_Saturation,Methyl Red_Saturation,Reference_Value,Phenol Red_Value,Methylene Blue_Value,Methyl Red_Value,VOC
45,1.511144101,1.820632873,0.009397339,0.023987612,0.018788591,0.03388289,0.134458612,0.018165687,1.517321974,1.904346587,0.009816675,0.02774975,0.021039918,0.034195805,0.135831504,0.020634255,1.275634673,1.716431366,0.008230346,0.021433906,0.017029591,0.027209588,0.113060685,0.016631807,11,3,11,8,12,9,9,6,9,20,13,8,10,4,10,4,126.0939049,169.2136384,0.805127841,2.099537726,1.666268729,2.662531007,11.19084711,1.623962744,16.60942708,32.88447294,0.118427507,0.227047971,0.266447797,0.227997144,1.681763182,0.107763638,2.1371,2.6704,1.0182,3.172,2.3453,1.9453,3.4634,14.0849,2.3808,2.1465,2.808,2.0562,18.6849,0.8827,0.8606,211.821,0.6297,1.0693,1.2789,7.9146,2.2783,2.2476,2.808,3.172,Ethanol
46,0.329542564,1.61336262,0.000527346,0.002542603,0.0021795,0.009500876,0.030270278,0.005651141,0.366520131,1.776738015,0.000706133,0.00345664,0.003020933,0.010049278,0.04276687,0.006142708,0.29596038,1.457799402,0.000442147,0.002258364,0.002043629,0.007661992,0.028709666,0.004435629,2,4,1,8,11,15,3,15,17,43,17,12,21,9,15,8,29.56520182,145.6584139,0.044321634,0.227557545,0.206359027,0.775445026,2.860454136,0.449317951,12.79185457,87.49582668,-0.044748348,0.011043643,0.012100039,0.045168357,0.518006591,0.051529851,2.0363,2.5766,2.2419,2.7332,2.0114,5.1191,4.2988,3.2485,2.2617,2.8616,3.3209,3.0025,1.4864,1.8319,1.9105,3.597,0.9372,1.9278,6.1313,2.9925,1.9812,2.576,3.3209,2.7332,Ethanol
47,0.365767487,1.614918889,0.0006021,0.002803995,0.002878155,0.009404894,0.039269321,0.005443438,0.392406687,1.774022172,0.000890807,0.003301408,0.003129658,0.009952647,0.043839,0.006040852,0.30511815,1.439080561,0.000547477,0.002281953,0.002250593,0.007211529,0.03344965,0.004199227,11,4,3,10,15,15,7,15,16,43,36,16,32,10,14,8,30.7141121,143.9804334,0.054817173,0.229849267,0.226844211,0.733203593,3.356843281,0.427812697,10.09194515,85.93199702,0.066606315,0.051458144,0.30798052,0.118115702,0.865053207,0.134378466,3.1998,3.4663,3.0386,3.8639,3.0962,4.0964,3.6923,3.6972,3.5668,3.6437,3.8068,3.4687,1.9367,1.6043,2.001,2.9148,0.8022,1.6558,7.0894,4.3659,3.1653,3.4635,3.8068,3.8639,Ethanol
48,21.5134459,1.953892807,0.813911035,5.186119644,3.971529018,1.536741552,13.3784931,1.177718626,33.43372901,2.052161232,0.960626803,10.38362484,6.858457647,2.620332883,19.65426861,1.792545294,20.56094133,1.830889094,0.702784705,6.149113298,4.330901769,1.699535815,12.95806812,1.197704076,3,3,1,1,1,1,1,1,6,49,5,6,3,2,5,3,2014.40602,181.6409145,68.83807036,595.7458462,422.1387789,161.5875172,1257.771477,114.3253554,218.672113,118.3994342,6.581213097,43.48565921,30.28920601,7.491944796,89.79661038,5.564007247,2.5701,2.9518,7.2763,7.9572,2.3457,4.9497,7.6043,23.3301,2.4613,4.1163,2.7775,6.9321,11.1195,1.7639,1.7541,183.9423,0.2434,3.2827,9.4697,7.9363,2.4369,4.4273,2.7775,7.9572,Methanol
49,26.15345137,1.888804063,1.032357106,5.186500528,3.345215695,1.492240121,12.26171376,1.125961416,41.15345137,1.907674489,2.107787278,10.38400573,6.861104809,2.181463179,18.42542184,1.856879579,25.84283797,1.736773672,1.218063977,5.423983899,3.64324292,1.434251746,11.22319532,1.171572483,2,3,0,1,1,1,2,2,5,29,3,5,3,3,4,3,2515.769437,172.5111964,117.1289296,525.193149,354.5264114,136.9811399,1090.613629,111.6805193,248.8168287,63.7630568,6.649818561,35.3843379,24.80619543,6.994051691,77.91227823,5.476934017,3.1535,2.9465,1.3902,10.7578,3.1963,2.2846,8.8999,20.8583,2.9867,2.8813,3.9492,2.8097,15.2732,1.2168,2.5245,231.8166,0.6075,2.227,2.3658,3.8156,3.0857,2.0291,3.9492,10.7578,Methanol
50,33.43351308,1.594620098,0.816506263,4.320450953,3.713061102,1.212926181,5.316976471,0.875531701,37.99674646,1.613189819,1.008332913,5.186701819,4.275279993,2.09419913,5.738877345,1.101862413,18.02906724,1.331811571,0.547406779,2.516260013,1.679281248,0.818694194,2.815256768,0.593139404,6,7,2,4,5,1,9,2,6,37,3,11,2,4,3,5,1914.802698,134.2032573,56.35873741,261.0066862,183.708684,83.59543926,303.2951405,61.11040093,514.8653675,147.8427402,10.14928058,50.90597135,48.82815757,11.63692953,87.25144857,9.70021031,2.7535,2.6285,4.6276,3.0557,2.7882,3.4147,3.9745,3.1031,3.0655,2.4096,2.6181,3.8839,1.1768,0.838,3.1951,2.9319,1.0438,1.3212,9.2244,6.391,2.674,2.6282,2.6181,3.0557,Methanol
51,30.72767041,1.443140541,0.840504437,3.2370527,2.744027077,0.86586218,5.735008729,0.695902538,31.22370216,1.461082477,0.874845096,3.701115664,2.744027077,1.450657501,6.097579793,0.758264925,13.5836626,1.217802635,0.490433091,1.631220165,0.666026234,0.514534633,2.682257242,0.402810106,10,7,5,13,16,2,12,3,4,40,2,5,2,1,3,3,1499.574699,122.6139592,51.48149451,176.019723,83.82162267,53.68324427,292.4604287,42.11290004,382.6759561,78.79485707,9.039058102,36.94938168,26.77149082,7.404301984,71.06663315,6.439689646,2.6334,2.8859,5.0372,3.4621,2.5904,2.1949,3.0065,2.3472,2.9417,2.9942,2.1417,3.1126,1.458,1.3635,2.8382,2.8183,1.167,1.2285,9.8334,5.6789,2.5538,2.834,2.1417,3.4621,Methanol
52,23.59056865,1.744258209,1.466492113,4.713335427,3.629291342,1.536498514,12.25865996,1.078683799,31.24021485,1.801750044,1.695429842,7.413338127,4.620745011,1.80339293,15.50271685,1.205382576,20.7790597,1.628842154,1.249002196,4.503440477,3.286651682,1.270274757,10.76232839,0.885909488,3,4,1,1,2,1,3,2,5,49,1,2,1,2,4,3,2043.439244,161.6630286,122.4902483,445.4138393,323.4071996,122.0216672,1054.295916,85.47558948,186.1679482,59.95282175,9.1337973,38.36046056,24.41177204,6.434353864,80.40735795,4.821894226,0.4315,1.6641,2.3166,3.8968,1.5466,1.5516,5.9088,13.3789,0.626,0.6735,1.3159,1.553,40.4503,0.8453,2.0397,226.0839,0.6789,1.9318,3.2956,3.0581,0.588,1.5576,1.3159,3.8968,Methanol
53,18.93379979,1.750289235,0.771306457,5.185600696,4.750158194,1.450357016,15.49820461,1.177626214,25.1573497,1.856701911,1.658748698,8.650604161,5.7080126,2.181351168,21.05944499,1.676098588,16.72401609,1.662527301,0.716115077,5.7473548,4.179550633,1.344728819,14.65834671,1.090665428,2,3,1,1,3,1,3,1,5,50,2,2,1,1,3,2,1638.778465,164.6103346,69.10078736,561.4519127,406.7945188,127.4489078,1419.186822,103.7737499,140.3573591,54.78786016,4.603295811,39.5912614,26.41169306,5.143219166,89.45807905,4.55286296,6.728,6.2782,5.8939,9.0388,6.8914,6.8217,8.6586,19.5124,6.7749,5.9491,7.3988,5.4382,14.0784,0.5549,1.4112,156.3712,0.2501,2.4311,6.5042,1.6484,6.8556,6.6719,7.3988,9.0388,Methanol
54,22.20846598,2.397641808,0.984484242,4.712758012,4.067811654,1.742451367,9.474841504,1.234066171,28.89295796,2.402044357,1.634713123,8.650261949,4.888829716,2.181047858,11.31018882,1.365147011,19.03513533,1.988749102,0.996309596,5.169882754,3.466630044,1.412430741,7.544628572,0.975954967,4,17,2,2,3,1,4,2,6,18,3,2,2,2,5,3,1880.63943,198.6491632,96.90400313,508.9117712,344.0219371,136.3364063,745.5818305,94.60424929,209.6741418,67.51097385,6.772784781,45.34241745,28.84441096,7.79573237,66.86870322,5.739665945,1.9036,1.5485,1.5409,3.5226,2.0137,1.4771,3.7084,7.7464,1.801,1.1601,0.9805,2.962,15.8924,0.4758,1.1148,73.6433,0.3058,2.3976,2.6706,2.9535,1.942,1.4734,0.9805,3.5226,Methanol
