,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.828,0.319,0.029,0.318,0.112,0.352,0.33,0.107
1,0.908,0.388,0.012,0.279,0.121,0.443,0.384,0.236
2,0.985,0.465,0.026,0.307,0.136,0.496,0.48,0.29
3,1.057,0.541,0.041,0.354,0.12,0.555,0.525,0.367
4,1.107,0.612,0.029,0.312,0.145,0.591,0.572,0.377
5,1.148,0.667,0.042,0.298,0.114,0.592,0.613,0.318
6,1.182,0.712,0.028,0.324,0.108,0.655,0.687,0.338
7,1.189,0.739,0.047,0.308,0.126,0.633,0.661,0.43
8,1.178,0.752,0.026,0.326,0.122,0.656,0.659,0.345
9,1.174,0.758,0.058,0.308,0.131,0.586,0.628,0.376
10,1.158,0.76,0.036,0.257,0.098,0.609,0.642,0.359
11,1.142,0.757,0.042,0.3,0.111,0.602,0.683,0.37
12,1.124,0.751,0.046,0.289,0.122,0.58,0.62,0.388
13,1.113,0.744,0.055,0.289,0.116,0.532,0.631,0.343
14,1.089,0.736,0.057,0.327,0.088,0.545,0.622,0.312
15,1.074,0.729,0.045,0.302,0.107,0.528,0.607,0.264
16,1.063,0.721,0.024,0.275,0.109,0.516,0.601,0.308
17,1.047,0.71,0.037,0.277,0.17,0.5,0.57,0.31
18,1.041,0.702,0.048,0.353,0.155,0.508,0.534,0.313
19,1.024,0.694,0.046,0.331,0.127,0.463,0.541,0.285
20,1.009,0.682,0.041,0.352,0.116,0.382,0.501,0.324
21,1.008,0.676,0.037,0.319,0.113,0.417,0.496,0.254
22,0.991,0.665,0.06,0.309,0.117,0.403,0.497,0.233
23,0.989,0.656,0.052,0.297,0.106,0.398,0.498,0.227
24,0.981,0.647,0.05,0.291,0.097,0.375,0.439,0.293
25,0.97,0.638,0.024,0.276,0.129,0.413,0.443,0.262
26,0.962,0.631,0.015,0.291,0.158,0.398,0.475,0.225
27,0.967,0.626,0.054,0.257,0.148,0.409,0.469,0.212
28,1.115,0.777,0.055,0.303,0.147,0.677,0.549,0.464
29,1.569,1.143,0.049,0.456,0.153,1.868,0.894,1.201
30,1.932,1.379,0.062,0.478,0.248,2.357,1.273,1.493
31,2.136,1.497,0.103,0.661,0.294,2.348,1.531,1.542
32,2.259,1.56,0.092,0.733,0.27,2.209,1.68,1.406
33,2.352,1.599,0.158,0.836,0.322,2.085,1.816,1.199
34,2.451,1.627,0.108,1.026,0.314,2.251,1.926,1.328
35,2.574,1.646,0.168,1.305,0.348,2.496,2.091,1.673
36,2.721,1.66,0.241,1.556,0.418,2.72,2.285,1.909
37,2.887,1.672,0.365,1.818,0.464,2.968,2.489,2.267
38,3.052,1.678,0.678,2.136,0.511,3.299,2.734,2.955
39,3.244,1.684,1.365,2.433,0.591,3.731,3.042,3.728
40,3.467,1.687,2.351,2.669,0.772,4.202,3.403,4.305
41,3.702,1.691,3.208,3.074,0.78,4.586,3.767,4.618
42,3.953,1.691,3.66,3.717,0.85,4.775,4.079,4.771
43,4.177,1.692,3.712,4.464,0.928,4.869,4.349,4.807
44,4.396,1.689,3.708,4.835,1.008,4.875,4.695,4.794
45,4.566,1.688,3.687,4.897,1.032,4.883,4.826,4.794
46,4.72,1.686,3.649,4.908,1.127,4.883,4.886,4.79
47,4.816,1.681,3.639,4.898,1.485,4.873,4.909,4.776
48,4.863,1.678,3.612,4.893,2.607,4.874,4.918,4.773
49,4.887,1.674,3.585,4.883,3.744,4.871,4.924,4.767
50,4.899,1.668,3.555,4.867,4.386,4.864,4.927,4.742
51,4.905,1.664,3.531,4.866,4.555,4.863,4.929,4.742
52,4.907,1.659,3.513,4.861,4.552,4.866,4.929,4.753
53,4.909,1.654,3.485,4.847,4.532,4.856,4.927,4.723
54,4.91,1.647,3.467,4.834,4.512,4.847,4.927,4.711
55,4.909,1.642,3.458,4.842,4.502,4.867,4.927,4.751
56,4.909,1.637,3.434,4.837,4.48,4.86,4.927,4.73
57,4.909,1.631,3.421,4.825,4.47,4.849,4.927,4.72
58,4.908,1.624,3.413,4.823,4.447,4.849,4.924,4.721
59,4.908,1.618,3.398,4.82,4.446,4.847,4.926,4.715
60,4.907,1.613,3.393,4.821,4.427,4.849,4.922,4.72
61,4.907,1.607,3.399,4.817,4.427,4.843,4.922,4.707
62,4.907,1.602,3.4,4.82,4.43,4.849,4.923,4.72
63,4.907,1.596,3.41,4.815,4.429,4.846,4.924,4.701
64,4.907,1.592,3.425,4.816,4.43,4.844,4.921,4.699
65,4.906,1.585,3.417,4.804,4.426,4.832,4.922,4.684
66,4.906,1.581,3.38,4.81,4.422,4.834,4.923,4.695
67,4.906,1.575,3.373,4.823,4.426,4.846,4.922,4.72
68,4.906,1.569,3.357,4.817,4.44,4.838,4.924,4.698
69,4.905,1.563,3.358,4.801,4.438,4.817,4.922,4.648
70,4.903,1.56,3.364,4.814,4.428,4.826,4.92,4.69
71,4.903,1.555,3.361,4.812,4.444,4.818,4.921,4.668
72,4.903,1.551,3.368,4.823,4.467,4.828,4.922,4.685
73,4.902,1.547,3.361,4.819,4.457,4.832,4.92,4.691
74,4.902,1.54,3.367,4.823,4.462,4.82,4.921,4.663
75,4.902,1.536,3.369,4.819,4.481,4.821,4.918,4.679
76,4.901,1.533,3.367,4.824,4.479,4.817,4.918,4.662
77,4.901,1.529,3.395,4.818,4.503,4.803,4.918,4.644
78,4.899,1.524,3.398,4.82,4.517,4.798,4.919,4.636
79,4.898,1.52,3.371,4.823,4.529,4.803,4.919,4.65
80,4.897,1.517,3.406,4.833,4.551,4.807,4.916,4.674
81,4.898,1.513,3.407,4.834,4.563,4.804,4.915,4.667
82,4.897,1.509,3.415,4.831,4.572,4.796,4.914,4.649
83,4.894,1.505,3.437,4.828,4.582,4.789,4.915,4.629
84,4.893,1.502,3.423,4.841,4.578,4.797,4.914,4.65
85,4.892,1.499,3.414,4.841,4.587,4.793,4.916,4.64
86,4.892,1.495,3.419,4.842,4.579,4.785,4.91,4.637
87,4.891,1.492,3.395,4.832,4.578,4.774,4.91,4.611
88,4.889,1.49,3.4,4.846,4.59,4.772,4.91,4.636
89,4.888,1.485,3.409,4.846,4.591,4.769,4.909,4.622
90,4.887,1.482,3.403,4.843,4.588,4.76,4.908,4.609
91,4.886,1.48,3.423,4.854,4.586,4.769,4.906,4.632
92,4.883,1.477,3.431,4.85,4.595,4.753,4.908,4.609
93,4.883,1.474,3.439,4.854,4.58,4.756,4.905,4.616
94,4.881,1.47,3.462,4.854,4.576,4.754,4.904,4.613
95,4.878,1.467,3.483,4.849,4.584,4.737,4.906,4.601
96,4.878,1.464,3.514,4.852,4.561,4.728,4.901,4.597
97,4.876,1.46,3.533,4.85,4.564,4.714,4.903,4.578
98,4.873,1.458,3.554,4.85,4.543,4.702,4.898,4.584
99,4.872,1.455,3.583,4.85,4.516,4.691,4.895,4.573
100,4.871,1.452,3.616,4.85,4.47,4.685,4.895,4.562
101,4.868,1.45,3.621,4.849,4.333,4.663,4.894,4.565
102,4.866,1.446,3.607,4.852,4.065,4.654,4.893,4.555
103,4.863,1.444,3.633,4.847,3.605,4.628,4.894,4.537
104,4.861,1.441,3.628,4.852,2.882,4.621,4.888,4.555
105,4.859,1.438,3.668,4.848,2.268,4.585,4.89,4.535
106,4.856,1.436,3.65,4.85,1.887,4.558,4.888,4.552
107,4.853,1.433,3.651,4.84,1.774,4.522,4.886,4.521
108,4.85,1.431,3.656,4.854,1.641,4.506,4.884,4.541
109,4.846,1.429,3.664,4.858,1.611,4.471,4.882,4.537
110,4.843,1.426,3.695,4.849,1.605,4.417,4.88,4.511
111,4.838,1.425,3.708,4.847,1.537,4.377,4.876,4.535
112,4.833,1.423,3.698,4.848,1.449,4.345,4.875,4.508
113,4.826,1.421,3.698,4.834,1.378,4.264,4.871,4.464
114,4.818,1.419,3.689,4.839,1.311,4.263,4.871,4.483
115,4.806,1.416,3.702,4.836,1.236,4.218,4.865,4.455
116,4.794,1.416,3.701,4.828,1.193,4.162,4.86,4.479
117,4.778,1.414,3.708,4.826,1.159,4.112,4.857,4.44
118,4.741,1.409,3.663,4.813,1.017,3.933,4.841,4.425
119,4.621,1.397,2.571,4.769,0.832,3.273,4.769,4.215
120,4.282,1.378,0.781,4.468,0.72,2.488,4.555,3.355
121,3.573,1.355,0.274,3.246,0.668,2.08,3.867,2.158
122,3.075,1.333,0.162,2.211,0.577,1.892,3.029,1.462
123,2.858,1.31,0.16,1.896,0.527,1.726,2.481,1.232
124,2.698,1.288,0.152,1.642,0.513,1.621,2.112,1.02
125,2.567,1.267,0.12,1.484,0.454,1.506,1.937,0.901
126,2.445,1.244,0.097,1.345,0.418,1.396,1.779,0.836
127,2.337,1.223,0.096,1.234,0.396,1.3,1.666,0.823
128,2.239,1.201,0.102,1.134,0.383,1.22,1.522,0.753
129,2.16,1.181,0.096,1.063,0.349,1.194,1.451,0.646
130,2.083,1.162,0.075,1.02,0.325,1.174,1.35,0.63
131,2.013,1.141,0.057,0.873,0.283,1.078,1.31,0.566
132,1.953,1.122,0.096,0.849,0.264,1.002,1.251,0.498
133,1.896,1.103,0.074,0.758,0.306,1.037,1.209,0.604
134,1.85,1.084,0.09,0.799,0.268,1.014,1.129,0.539
135,1.811,1.066,0.054,0.757,0.272,0.977,1.138,0.55
136,1.761,1.049,0.065,0.764,0.268,0.962,1.075,0.497
137,1.722,1.033,0.069,0.709,0.242,0.874,1.05,0.464
138,1.696,1.016,0.037,0.654,0.237,0.84,0.985,0.424
139,1.66,0.998,0.042,0.633,0.276,0.871,0.953,0.431
140,1.623,0.983,0.046,0.615,0.231,0.858,0.94,0.435
141,1.595,0.968,0.055,0.629,0.256,0.778,0.933,0.394
142,1.577,0.951,0.053,0.625,0.243,0.77,0.902,0.396
143,1.541,0.938,0.052,0.603,0.213,0.768,0.898,0.365
144,1.529,0.922,0.036,0.604,0.193,0.74,0.848,0.421
145,1.513,0.912,0.047,0.53,0.214,0.757,0.854,0.375
146,1.494,0.898,0.031,0.556,0.216,0.732,0.808,0.342
147,1.481,0.886,0.051,0.557,0.186,0.768,0.83,0.346
148,1.469,0.872,0.045,0.568,0.183,0.714,0.808,0.361
149,1.454,0.862,0.046,0.581,0.2,0.643,0.798,0.406
150,1.443,0.849,0.042,0.578,0.227,0.651,0.758,0.327
151,1.425,0.838,0.062,0.542,0.208,0.698,0.737,0.335
152,1.408,0.827,0.038,0.544,0.223,0.677,0.769,0.352
153,1.399,0.817,0.03,0.472,0.21,0.587,0.711,0.418
154,1.386,0.808,0.031,0.571,0.229,0.689,0.736,0.39
155,1.37,0.797,0.039,0.536,0.218,0.614,0.748,0.357
156,1.361,0.787,0.033,0.546,0.191,0.67,0.724,0.339
157,1.357,0.779,0.059,0.46,0.191,0.61,0.716,0.308
158,1.337,0.771,0.023,0.513,0.228,0.637,0.697,0.313
159,1.329,0.762,0.056,0.508,0.17,0.627,0.698,0.295
160,1.326,0.754,0.043,0.495,0.149,0.63,0.678,0.306
161,1.31,0.748,0.035,0.497,0.165,0.644,0.681,0.362
162,1.303,0.74,0.041,0.463,0.185,0.623,0.641,0.345
163,1.291,0.733,0.042,0.479,0.179,0.609,0.635,0.405
164,1.276,0.726,0.039,0.459,0.178,0.637,0.627,0.344
165,1.267,0.721,0.04,0.485,0.183,0.595,0.632,0.35
166,1.259,0.714,0.018,0.501,0.122,0.636,0.602,0.359
167,1.257,0.709,0.02,0.525,0.137,0.63,0.596,0.39
168,1.24,0.702,0.044,0.473,0.163,0.64,0.615,0.386
169,1.226,0.697,0.031,0.461,0.216,0.596,0.637,0.381
170,1.22,0.692,0.036,0.456,0.194,0.58,0.596,0.318
171,1.213,0.69,0.032,0.433,0.123,0.599,0.584,0.355
172,1.202,0.684,0.03,0.452,0.145,0.561,0.584,0.383
173,1.192,0.68,0.022,0.44,0.171,0.577,0.578,0.34
174,1.181,0.675,0.027,0.449,0.145,0.631,0.577,0.328
175,1.172,0.67,0.039,0.443,0.154,0.546,0.581,0.355
176,1.168,0.668,0.021,0.448,0.17,0.567,0.567,0.355
177,1.149,0.662,0.015,0.435,0.166,0.571,0.582,0.296
178,1.149,0.661,0.024,0.435,0.162,0.589,0.563,0.364
179,1.137,0.656,0.043,0.45,0.145,0.569,0.565,0.309
180,1.13,0.654,0.038,0.459,0.186,0.56,0.563,0.285
181,1.123,0.651,0.029,0.413,0.193,0.537,0.602,0.379
182,1.121,0.647,0.051,0.44,0.188,0.541,0.565,0.327
183,1.116,0.645,0.045,0.392,0.178,0.569,0.547,0.341
184,1.105,0.639,0.03,0.421,0.167,0.531,0.572,0.368
185,1.1,0.638,0.046,0.424,0.177,0.528,0.559,0.334
186,1.094,0.636,0.071,0.369,0.189,0.518,0.545,0.352
187,1.087,0.632,0.017,0.402,0.157,0.52,0.581,0.328
188,1.085,0.629,0.035,0.382,0.184,0.518,0.578,0.339
189,1.08,0.627,0.044,0.389,0.146,0.536,0.574,0.307
190,1.085,0.625,0.022,0.395,0.127,0.529,0.538,0.304
191,1.077,0.623,0.034,0.359,0.126,0.514,0.541,0.324
192,1.072,0.62,0.065,0.342,0.136,0.461,0.51,0.34
193,1.071,0.618,0.053,0.314,0.141,0.51,0.528,0.337
194,1.069,0.617,0.039,0.401,0.105,0.473,0.503,0.34
195,1.063,0.615,0.036,0.385,0.121,0.504,0.547,0.354
196,1.06,0.614,0.028,0.383,0.129,0.488,0.538,0.326
197,1.059,0.611,0.041,0.395,0.15,0.51,0.526,0.313
198,1.059,0.608,0.047,0.376,0.122,0.498,0.526,0.328
199,1.053,0.606,0.021,0.345,0.132,0.5,0.522,0.314
200,1.046,0.606,0.05,0.309,0.134,0.488,0.517,0.316
201,1.048,0.604,0.066,0.338,0.12,0.494,0.525,0.321
202,1.042,0.602,0.036,0.367,0.119,0.483,0.509,0.356
203,1.037,0.603,0.044,0.368,0.121,0.503,0.477,0.356
204,1.037,0.6,0.026,0.359,0.109,0.485,0.472,0.338
205,1.029,0.596,0.04,0.37,0.107,0.486,0.5,0.269
206,1.026,0.595,0.047,0.334,0.132,0.417,0.498,0.289
207,1.023,0.594,0.033,0.361,0.127,0.484,0.529,0.32
208,1.027,0.592,0.03,0.34,0.12,0.417,0.497,0.253
209,1.017,0.591,0.035,0.383,0.142,0.462,0.522,0.349
210,1.017,0.591,0.037,0.339,0.107,0.459,0.5,0.316
211,1.011,0.591,0.035,0.393,0.13,0.427,0.474,0.398
212,1.001,0.588,0.065,0.35,0.179,0.391,0.47,0.233
213,0.999,0.585,0.034,0.371,0.122,0.414,0.499,0.248
214,1.001,0.583,0.022,0.373,0.178,0.468,0.482,0.252
215,1.003,0.584,0.023,0.36,0.122,0.418,0.48,0.259
216,1.008,0.584,0.021,0.322,0.115,0.449,0.498,0.32
217,1.0,0.583,0.046,0.341,0.101,0.449,0.462,0.283
218,0.994,0.583,0.039,0.338,0.125,0.456,0.488,0.26
219,0.989,0.579,0.023,0.343,0.15,0.465,0.459,0.339
220,1.001,0.579,0.043,0.386,0.157,0.452,0.479,0.265
221,0.986,0.576,0.022,0.36,0.102,0.468,0.471,0.252
222,0.985,0.576,0.013,0.317,0.087,0.416,0.486,0.295
223,0.977,0.575,0.045,0.317,0.134,0.473,0.498,0.352
224,0.985,0.575,0.05,0.332,0.112,0.456,0.515,0.285
225,0.973,0.574,0.035,0.38,0.144,0.42,0.481,0.309
226,0.975,0.572,0.019,0.348,0.127,0.455,0.465,0.252
227,0.974,0.572,0.039,0.33,0.125,0.407,0.451,0.293
228,0.981,0.571,0.019,0.315,0.098,0.418,0.471,0.343
229,0.971,0.569,0.032,0.347,0.098,0.407,0.465,0.263
230,0.971,0.569,0.027,0.361,0.156,0.425,0.495,0.279
231,0.965,0.568,0.028,0.339,0.143,0.408,0.458,0.244
232,0.965,0.567,0.042,0.196,0.113,0.37,0.477,0.219
