,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.604,0.38,0.055,0.195,0.097,0.241,0.246,0.183
1,0.601,0.378,0.048,0.2,0.136,0.226,0.263,0.096
2,0.601,0.379,0.026,0.224,0.123,0.19,0.264,0.189
3,0.608,0.379,0.031,0.235,0.088,0.198,0.274,0.142
4,0.614,0.381,0.026,0.221,0.079,0.235,0.263,0.164
5,0.608,0.381,0.044,0.244,0.1,0.241,0.244,0.109
6,0.606,0.379,0.024,0.228,0.094,0.214,0.25,0.16
7,0.611,0.379,0.026,0.205,0.118,0.21,0.285,0.169
8,0.613,0.381,0.02,0.235,0.098,0.249,0.25,0.128
9,0.604,0.378,0.036,0.214,0.123,0.217,0.293,0.191
10,0.605,0.379,0.038,0.202,0.097,0.179,0.243,0.142
11,0.601,0.379,0.024,0.214,0.1,0.262,0.218,0.122
12,0.604,0.381,0.027,0.192,0.117,0.27,0.247,0.097
13,0.614,0.379,0.018,0.233,0.092,0.225,0.246,0.119
14,0.613,0.379,0.021,0.21,0.098,0.234,0.244,0.132
15,0.599,0.379,0.031,0.213,0.125,0.214,0.273,0.132
16,0.595,0.38,0.011,0.205,0.089,0.212,0.256,0.135
17,0.599,0.379,0.039,0.26,0.107,0.187,0.22,0.143
18,0.602,0.379,0.034,0.236,0.11,0.209,0.248,0.168
19,0.606,0.378,0.017,0.176,0.123,0.213,0.238,0.092
20,0.606,0.378,0.058,0.24,0.124,0.237,0.275,0.168
21,0.604,0.377,0.043,0.166,0.074,0.238,0.223,0.185
22,0.596,0.378,0.039,0.206,0.088,0.227,0.248,0.147
23,0.597,0.378,0.024,0.24,0.078,0.241,0.277,0.181
24,0.598,0.38,0.017,0.246,0.072,0.245,0.279,0.145
25,0.589,0.381,0.024,0.176,0.109,0.199,0.239,0.177
26,0.593,0.378,0.03,0.185,0.102,0.227,0.237,0.158
27,0.599,0.38,0.028,0.242,0.095,0.206,0.257,0.174
28,0.589,0.379,0.039,0.204,0.118,0.24,0.25,0.14
29,0.589,0.396,0.035,0.188,0.088,0.207,0.25,0.187
30,0.691,0.622,0.05,0.204,0.116,0.275,0.306,0.115
31,1.043,1.14,0.052,0.235,0.143,0.551,0.565,0.245
32,1.454,1.582,0.093,0.283,0.133,0.919,0.929,0.512
33,1.797,1.873,0.159,0.338,0.168,1.291,1.23,0.705
34,2.024,2.055,0.222,0.391,0.17,1.448,1.44,0.757
35,2.161,2.167,0.27,0.443,0.241,1.552,1.642,0.865
36,2.239,2.251,0.291,0.547,0.248,1.561,1.725,0.941
37,2.268,2.309,0.291,0.576,0.296,1.532,1.805,0.98
38,2.276,2.353,0.283,0.626,0.285,1.572,1.822,0.951
39,2.276,2.39,0.245,0.713,0.285,1.618,1.838,0.96
40,2.284,2.416,0.197,0.741,0.27,1.701,1.806,1.084
41,2.298,2.438,0.184,0.802,0.34,1.678,1.865,1.05
42,2.307,2.456,0.191,0.854,0.321,1.797,1.901,1.119
43,2.321,2.471,0.162,0.942,0.309,1.841,1.888,1.138
44,2.348,2.482,0.187,0.99,0.355,1.906,1.928,1.207
45,2.374,2.492,0.16,1.028,0.386,1.953,1.995,1.279
46,2.401,2.498,0.173,1.108,0.378,2.004,2.008,1.261
47,2.427,2.505,0.163,1.187,0.392,2.095,2.027,1.36
48,2.448,2.509,0.146,1.215,0.389,2.128,2.049,1.462
49,2.469,2.511,0.185,1.222,0.368,2.179,2.067,1.499
50,2.489,2.514,0.17,1.235,0.392,2.218,2.111,1.572
51,2.508,2.515,0.183,1.281,0.4,2.252,2.103,1.619
52,2.525,2.516,0.168,1.307,0.447,2.265,2.161,1.588
53,2.539,2.517,0.158,1.312,0.433,2.26,2.151,1.591
54,2.553,2.516,0.176,1.297,0.458,2.288,2.16,1.65
55,2.569,2.514,0.181,1.31,0.458,2.337,2.17,1.696
56,2.585,2.514,0.197,1.361,0.476,2.327,2.175,1.668
57,2.585,2.513,0.165,1.332,0.452,2.364,2.171,1.689
58,2.585,2.511,0.163,1.358,0.454,2.361,2.181,1.715
59,2.596,2.51,0.207,1.382,0.498,2.368,2.206,1.707
60,2.594,2.511,0.154,1.264,0.487,2.377,2.192,1.749
61,2.597,2.507,0.162,1.361,0.497,2.372,2.201,1.729
62,2.597,2.505,0.2,1.331,0.45,2.393,2.172,1.735
63,2.596,2.504,0.161,1.376,0.446,2.366,2.18,1.741
64,2.6,2.5,0.187,1.358,0.462,2.413,2.202,1.795
65,2.598,2.498,0.163,1.374,0.462,2.462,2.177,1.814
66,2.592,2.495,0.15,1.344,0.435,2.453,2.151,1.82
67,2.6,2.493,0.214,1.362,0.484,2.43,2.202,1.778
68,2.594,2.49,0.17,1.34,0.428,2.416,2.152,1.799
69,2.589,2.486,0.188,1.319,0.471,2.413,2.184,1.8
70,2.584,2.482,0.191,1.312,0.454,2.424,2.162,1.803
71,2.576,2.479,0.182,1.298,0.501,2.425,2.176,1.805
72,2.566,2.475,0.169,1.261,0.459,2.453,2.111,1.822
73,2.558,2.475,0.163,1.29,0.466,2.449,2.158,1.895
74,2.556,2.471,0.225,1.278,0.423,2.43,2.128,1.801
75,2.553,2.47,0.193,1.323,0.474,2.429,2.161,1.814
76,2.556,2.466,0.21,1.28,0.446,2.434,2.135,1.837
77,2.557,2.464,0.207,1.316,0.437,2.444,2.134,1.823
78,2.556,2.461,0.201,1.259,0.452,2.485,2.133,1.804
79,2.56,2.459,0.182,1.319,0.449,2.459,2.138,1.854
80,2.556,2.457,0.171,1.342,0.407,2.451,2.117,1.844
81,2.555,2.454,0.198,1.262,0.456,2.414,2.117,1.827
82,2.551,2.452,0.169,1.262,0.47,2.438,2.109,1.815
83,2.552,2.449,0.186,1.275,0.44,2.435,2.116,1.844
84,2.551,2.447,0.183,1.247,0.445,2.435,2.108,1.791
85,2.549,2.446,0.179,1.252,0.453,2.449,2.131,1.805
86,2.542,2.442,0.188,1.271,0.449,2.449,2.118,1.848
87,2.54,2.433,0.2,1.281,0.473,2.461,2.134,1.824
88,2.532,2.432,0.16,1.269,0.427,2.447,2.108,1.858
89,2.533,2.428,0.185,1.246,0.46,2.446,2.125,1.817
90,2.53,2.431,0.182,1.276,0.422,2.449,2.094,1.848
91,2.539,2.434,0.2,1.22,0.471,2.446,2.105,1.814
92,2.535,2.432,0.213,1.261,0.454,2.446,2.102,1.822
93,2.529,2.422,0.202,1.247,0.427,2.452,2.067,1.813
94,2.528,2.421,0.199,1.267,0.416,2.446,2.108,1.812
95,2.529,2.421,0.187,1.232,0.446,2.45,2.081,1.806
96,2.531,2.423,0.208,1.252,0.469,2.436,2.097,1.808
97,2.533,2.424,0.187,1.227,0.441,2.464,2.103,1.828
98,2.536,2.422,0.196,1.204,0.348,2.472,2.085,1.789
99,2.538,2.42,0.206,1.23,0.424,2.41,2.103,1.841
100,2.531,2.421,0.158,1.287,0.441,2.495,2.08,1.853
101,2.536,2.418,0.191,1.211,0.421,2.447,2.111,1.781
102,2.536,2.413,0.187,1.217,0.462,2.425,2.122,1.802
103,2.536,2.413,0.2,1.197,0.445,2.45,2.081,1.821
