,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,0.695,0.423,0.021,0.196,0.099,0.188,0.282,0.171
1,0.702,0.424,0.033,0.215,0.115,0.226,0.263,0.179
2,0.708,0.424,0.018,0.225,0.078,0.237,0.28,0.194
3,0.7,0.425,0.019,0.24,0.088,0.211,0.252,0.193
4,0.696,0.425,0.026,0.197,0.084,0.248,0.281,0.12
5,0.695,0.424,0.028,0.205,0.076,0.245,0.255,0.179
6,0.698,0.424,0.015,0.2,0.075,0.174,0.262,0.15
7,0.702,0.424,0.024,0.208,0.112,0.227,0.293,0.149
8,0.703,0.423,0.026,0.256,0.082,0.238,0.298,0.152
9,0.702,0.424,0.029,0.26,0.088,0.236,0.272,0.152
10,0.702,0.423,0.024,0.211,0.079,0.238,0.274,0.172
11,0.707,0.425,0.039,0.218,0.109,0.185,0.26,0.182
12,0.694,0.423,0.026,0.227,0.086,0.21,0.244,0.104
13,0.705,0.424,0.033,0.245,0.088,0.221,0.256,0.126
14,0.704,0.424,0.024,0.21,0.119,0.2,0.264,0.137
15,0.702,0.424,0.039,0.209,0.09,0.303,0.288,0.133
16,0.706,0.423,0.019,0.223,0.101,0.258,0.264,0.153
17,0.698,0.424,0.029,0.243,0.117,0.21,0.31,0.179
18,0.706,0.425,0.01,0.222,0.089,0.249,0.284,0.123
19,0.711,0.423,0.029,0.173,0.131,0.237,0.276,0.111
20,0.697,0.426,0.023,0.189,0.083,0.243,0.248,0.215
21,0.691,0.423,0.022,0.193,0.093,0.254,0.296,0.138
22,0.701,0.423,0.02,0.182,0.123,0.253,0.273,0.094
23,0.698,0.422,0.017,0.19,0.094,0.254,0.305,0.151
24,0.7,0.423,0.029,0.228,0.112,0.258,0.28,0.145
25,0.69,0.422,0.041,0.171,0.101,0.241,0.284,0.107
26,0.708,0.424,0.029,0.233,0.085,0.293,0.271,0.18
27,0.698,0.426,0.032,0.231,0.104,0.248,0.288,0.156
28,0.699,0.425,0.027,0.244,0.1,0.235,0.277,0.118
29,0.699,0.454,0.035,0.218,0.099,0.264,0.249,0.156
