,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0,1.165,0.624,0.111,0.619,0.184,0.319,0.537,0.258
1,1.164,0.624,0.12,0.593,0.199,0.386,0.581,0.221
2,1.168,0.625,0.112,0.63,0.182,0.345,0.546,0.208
3,1.166,0.624,0.096,0.511,0.19,0.4,0.58,0.172
4,1.165,0.623,0.098,0.588,0.218,0.344,0.57,0.172
5,1.167,0.626,0.104,0.636,0.217,0.32,0.565,0.198
6,1.159,0.625,0.123,0.641,0.226,0.344,0.595,0.203
7,1.157,0.625,0.117,0.606,0.239,0.363,0.541,0.22
8,1.155,0.623,0.109,0.659,0.235,0.375,0.579,0.219
9,1.158,0.624,0.118,0.588,0.229,0.343,0.561,0.274
10,1.162,0.625,0.091,0.57,0.222,0.422,0.542,0.211
11,1.162,0.624,0.097,0.56,0.224,0.358,0.614,0.187
12,1.161,0.624,0.101,0.607,0.242,0.365,0.585,0.245
13,1.164,0.624,0.13,0.54,0.246,0.369,0.581,0.192
14,1.158,0.624,0.101,0.612,0.235,0.364,0.588,0.213
15,1.154,0.623,0.122,0.599,0.204,0.357,0.555,0.247
16,1.156,0.625,0.136,0.602,0.214,0.342,0.595,0.184
17,1.159,0.623,0.114,0.616,0.201,0.39,0.55,0.249
18,1.162,0.622,0.124,0.579,0.231,0.347,0.562,0.217
19,1.162,0.622,0.09,0.579,0.205,0.338,0.552,0.197
20,1.156,0.622,0.127,0.607,0.217,0.346,0.589,0.214
21,1.157,0.622,0.122,0.575,0.223,0.439,0.625,0.204
22,1.155,0.622,0.094,0.619,0.235,0.373,0.605,0.158
23,1.157,0.623,0.089,0.606,0.266,0.297,0.565,0.2
24,1.154,0.653,0.092,0.581,0.233,0.353,0.537,0.24
25,1.427,1.319,0.239,0.683,0.414,0.493,0.91,0.287
26,2.075,1.954,0.747,0.886,0.808,0.824,1.567,0.627
27,2.544,2.235,1.052,1.13,1.1,1.208,2.128,0.829
28,2.786,2.379,1.12,1.408,1.274,1.487,2.387,1.152
29,2.94,2.47,1.154,1.673,1.24,1.797,2.49,1.384
30,3.078,2.525,1.137,1.904,1.218,2.141,2.621,1.61
31,3.223,2.564,1.215,2.188,1.223,2.495,2.715,1.934
32,3.367,2.591,1.223,2.415,1.238,2.798,2.805,2.267
33,3.501,2.611,1.32,2.677,1.294,3.009,2.917,2.558
34,3.61,2.627,1.364,2.939,1.402,3.226,3.043,2.76
35,3.708,2.635,1.437,3.135,1.464,3.383,3.119,2.886
36,3.777,2.641,1.541,3.25,1.57,3.483,3.214,2.933
37,3.838,2.647,1.597,3.356,1.678,3.52,3.255,3.074
38,3.883,2.65,1.643,3.434,1.731,3.598,3.319,3.17
39,3.918,2.655,1.688,3.535,1.821,3.564,3.348,3.171
40,3.95,2.656,1.716,3.597,1.885,3.677,3.383,3.247
41,3.973,2.654,1.769,3.609,1.934,3.655,3.378,3.293
42,3.988,2.651,1.76,3.646,1.98,3.706,3.429,3.251
43,4.007,2.65,1.788,3.651,1.997,3.657,3.455,3.258
44,4.016,2.648,1.77,3.683,1.972,3.73,3.432,3.277
45,4.023,2.646,1.801,3.742,2.019,3.74,3.431,3.277
46,4.03,2.646,1.812,3.717,2.021,3.722,3.441,3.323
47,4.033,2.646,1.8,3.726,2.036,3.698,3.458,3.302
48,4.035,2.643,1.821,3.717,2.041,3.71,3.484,3.27
49,4.038,2.642,1.813,3.727,2.029,3.736,3.45,3.298
50,4.04,2.641,1.811,3.717,2.037,3.741,3.427,3.32
51,4.045,2.639,1.827,3.717,2.021,3.734,3.444,3.299
